THE SPECIE,RACE,CONTINENT,SUB-CONTINENT,SUB-REGION,NATIONALITY,ETHNICITY,REGION,STATE,SENATORIAL DISTRICT,FEDERAL CONSTITUENCY,LOCAL GOVERNMENT AREA,STATE CONSTITUENCY,TOWN,TOWN DIVISION,TOWN QUARTERS,CLAN,VILLAGE,HAMLET,KINDRED, UMUNNA ,EXTENDED FAMILY,GREAT GRAND FAMILY,GRAND FAMILY,FAMILY,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31
HUMANITY,NEGRO,AFRICA,SUB-SAHARA,WEST AFRICA,NIGERIA,UMU - IGBO,SOUTH EAST ,ANAMBRA ,ANAMBRA SOUTH ,AGUATA,AGUATA,AGUATA I,ACHINA,,,,,,,,,,,,,,,,,,
HUMANITY,NEGRO,AFRICA,SUB-SAHARA,WEST AFRICA,NIGERIA,UMU - IGBO,SOUTH EAST ,ANAMBRA ,ANAMBRA SOUTH ,AGUATA,AGUATA,AGUATA I,AGULUEZECHUKWU,,,,,,,,,,,,,,,,,,
HUMANITY,NEGRO,AFRICA,SUB-SAHARA,WEST AFRICA,NIGERIA,UMU - IGBO,SOUTH EAST ,ANAMBRA ,ANAMBRA SOUTH ,AGUATA,AGUATA,AGUATA I,AKPO,,,,,,,,,,,,,,,,,,
HUMANITY,NEGRO,AFRICA,SUB-SAHARA,WEST AFRICA,NIGERIA,UMU - IGBO,SOUTH EAST ,ANAMBRA ,ANAMBRA SOUTH ,AGUATA,AGUATA,AGUATA I,AMESI,,,,,,,,,,,,,,,,,,
HUMANITY,NEGRO,AFRICA,SUB-SAHARA,WEST AFRICA,NIGERIA,UMU - IGBO,SOUTH EAST ,ANAMBRA ,ANAMBRA SOUTH ,AGUATA,AGUATA,AGUATA I,EKWULOBIA,,,,,,,,,,,,,,,,,,
HUMANITY,NEGRO,AFRICA,SUB-SAHARA,WEST AFRICA,NIGERIA,UMU - IGBO,SOUTH EAST ,ANAMBRA ,ANAMBRA SOUTH ,AGUATA,AGUATA,AGUATA I,EZINIFITE,,,,,,,,,,,,,,,,,,
HUMANITY,NEGRO,AFRICA,SUB-SAHARA,WEST AFRICA,NIGERIA,UMU - IGBO,SOUTH EAST ,ANAMBRA ,ANAMBRA SOUTH ,AGUATA,AGUATA,AGUATA I,IGBO-UKWU,,,,,,,,,,,,,,,,,,
HUMANITY,NEGRO,AFRICA,SUB-SAHARA,WEST AFRICA,NIGERIA,UMU - IGBO,SOUTH EAST ,ANAMBRA ,ANAMBRA SOUTH ,AGUATA,AGUATA,AGUATA I,IKENGA,,,,,,,,,,,,,,,,,,
HUMANITY,NEGRO,AFRICA,SUB-SAHARA,WEST AFRICA,NIGERIA,UMU - IGBO,SOUTH EAST ,ANAMBRA ,ANAMBRA SOUTH ,AGUATA,AGUATA,AGUATA I,ISUOFIA,,,,,,,,,,,,,,,,,,
HUMANITY,NEGRO,AFRICA,SUB-SAHARA,WEST AFRICA,NIGERIA,UMU - IGBO,SOUTH EAST ,ANAMBRA ,ANAMBRA SOUTH ,AGUATA,AGUATA,AGUATA I,NKPOLOGWU,,,,,,,,,,,,,,,,,,
