THE SPECIE,RACE,CONTINENT,SUB-CONTINENT,SUB-REGION,NATIONALITY,ETHNICITY,REGION,STATE,SENATORIAL DISTRICT,FEDERAL CONSTITUENCY,LOCAL GOVERNMENT AREA,STATE CONSTITUENCY,TOWN,TOWN DIVISION,TOWN QUARTERS,CLAN,VILLAGE,HAMLET,KINDRED, UMUNNA ,EXTENDED FAMILY,GREAT GRAND FAMILY,GRAND FAMILY,FAMILY,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Source_Sheet,TOWN QUARTER,OBI AREAS,KINDRED/HAMLET,Unnamed: 20,EXT. FAMILY,Unnamed: 22,Unnamed: 23,CHAIRMAN,SECRETARY,Unnamed: 21,Unnamed: 24,QUARTERS,VILLAGES, UMUNNA (EXT. FAMILY),OKPARA
HUMANITY,NEGRO,AFRICA,SUB-SAHARA,WEST AFRICA,NIGERIA,UMU - IGBO,SOUTH EAST ,ANAMBRA ,ANAMBRA SOUTH ,AGUATA,AGUATA,AGUATA I,ACHINA,,,,,,,,,,,,,,,,,,,ANAMBRA,,,,,,,,,,,,,,,
HUMANITY,NEGRO,AFRICA,SUB-SAHARA,WEST AFRICA,NIGERIA,UMU - IGBO,SOUTH EAST ,ANAMBRA ,ANAMBRA SOUTH ,AGUATA,AGUATA,AGUATA I,AGULUEZECHUKWU,,,,,,,,,,,,,,,,,,,ANAMBRA,,,,,,,,,,,,,,,
HUMANITY,NEGRO,AFRICA,SUB-SAHARA,WEST AFRICA,NIGERIA,UMU - IGBO,SOUTH EAST ,ANAMBRA ,ANAMBRA SOUTH ,AGUATA,AGUATA,AGUATA I,AKPO,,,,,,,,,,,,,,,,,,,ANAMBRA,,,,,,,,,,,,,,,
HUMANITY,NEGRO,AFRICA,SUB-SAHARA,WEST AFRICA,NIGERIA,UMU - IGBO,SOUTH EAST ,ANAMBRA ,ANAMBRA SOUTH ,AGUATA,AGUATA,AGUATA I,AMESI,,,,,,,,,,,,,,,,,,,ANAMBRA,,,,,,,,,,,,,,,
HUMANITY,NEGRO,AFRICA,SUB-SAHARA,WEST AFRICA,NIGERIA,UMU - IGBO,SOUTH EAST ,ANAMBRA ,ANAMBRA SOUTH ,AGUATA,AGUATA,AGUATA I,EKWULOBIA,,,,,,,,,,,,,,,,,,,ANAMBRA,,,,,,,,,,,,,,,
HUMANITY,NEGRO,AFRICA,SUB-SAHARA,WEST AFRICA,NIGERIA,UMU - IGBO,SOUTH EAST ,ANAMBRA ,ANAMBRA SOUTH ,AGUATA,AGUATA,AGUATA I,EZINIFITE,,,,,,,,,,,,,,,,,,,ANAMBRA,,,,,,,,,,,,,,,
HUMANITY,NEGRO,AFRICA,SUB-SAHARA,WEST AFRICA,NIGERIA,UMU - IGBO,SOUTH EAST ,ANAMBRA ,ANAMBRA SOUTH ,AGUATA,AGUATA,AGUATA I,IGBO-UKWU,,,,,,,,,,,,,,,,,,,ANAMBRA,,,,,,,,,,,,,,,
HUMANITY,NEGRO,AFRICA,SUB-SAHARA,WEST AFRICA,NIGERIA,UMU - IGBO,SOUTH EAST ,ANAMBRA ,ANAMBRA SOUTH ,AGUATA,AGUATA,AGUATA I,IKENGA,,,,,,,,,,,,,,,,,,,ANAMBRA,,,,,,,,,,,,,,,
HUMANITY,NEGRO,AFRICA,SUB-SAHARA,WEST AFRICA,NIGERIA,UMU - IGBO,SOUTH EAST ,ANAMBRA ,ANAMBRA SOUTH ,AGUATA,AGUATA,AGUATA I,ISUOFIA,,,,,,,,,,,,,,,,,,,ANAMBRA,,,,,,,,,,,,,,,
HUMANITY,NEGRO,AFRICA,SUB-SAHARA,WEST AFRICA,NIGERIA,UMU - IGBO,SOUTH EAST ,ANAMBRA ,ANAMBRA SOUTH ,AGUATA,AGUATA,AGUATA I,NKPOLOGWU,,,,,,,,,,,,,,,,,,,ANAMBRA,,,,,,,,,,,,,,,
HUMANITY,NEGRO,AFRICA,SUB-SAHARA,WEST AFRICA,NIGERIA,UMU - IGBO,SOUTH EAST ,ANAMBRA ,ANAMBRA SOUTH ,AGUATA,AGUATA,AGUATA I,ORAERI,,,,,,,,,,,,,,,,,,,ANAMBRA,,,,,,,,,,,,,,,
HUMANITY,NEGRO,AFRICA,SUB-SAHARA,WEST AFRICA,NIGERIA,UMU - IGBO,SOUTH EAST ,ANAMBRA ,ANAMBRA SOUTH ,AGUATA,AGUATA,AGUATA I,UGA,,,,,,,,,,,,,,,,,,,ANAMBRA,,,,,,,,,,,,,,,
HUMANITY,NEGRO,AFRICA,SUB-SAHARA,WEST AFRICA,NIGERIA,UMU - IGBO,SOUTH EAST ,ANAMBRA ,ANAMBRA SOUTH ,AGUATA,AGUATA,AGUATA I,UMUCHU,,,,,,,,,,,,,,,,,,,ANAMBRA,,,,,,,,,,,,,,,
HUMANITY,NEGRO,AFRICA,SUB-SAHARA,WEST AFRICA,NIGERIA,UMU - IGBO,SOUTH EAST ,ANAMBRA ,ANAMBRA SOUTH ,AGUATA,AGUATA,AGUATA II,UMUONA,,,,,,,,,,,,,,,,,,,ANAMBRA,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ANAMBRA,,,,,,,,,,,,,,,
HUMANITY,NEGRO,AFRICA,SUB-SAHARA,WEST AFRICA,NIGERIA,UMU - IGBO,SOUTH EAST ,ANAMBRA ,ANAMBRA SOUTH ,IHIALA,IHIALA,IHIALA I,AMORKA,,,,,,,,,,,,,,,,,,,ANAMBRA,,,,,,,,,,,,,,,
HUMANITY,NEGRO,AFRICA,SUB-SAHARA,WEST AFRICA,NIGERIA,UMU - IGBO,SOUTH EAST ,ANAMBRA ,ANAMBRA SOUTH ,IHIALA,IHIALA,IHIALA I,ULI,,,,,,,,,,,,,,,,,,,ANAMBRA,,,,,,,,,,,,,,,
HUMANITY,NEGRO,AFRICA,SUB-SAHARA,WEST AFRICA,NIGERIA,UMU - IGBO,SOUTH EAST ,ANAMBRA ,ANAMBRA SOUTH ,IHIALA,IHIALA,IHIALA I,IHIALA,EZI,AMAMU,DIOHA,ELEKECHEM,,,,,,,,,,,,,,,ANAMBRA,,,,,,,,,,,,,,,
HUMANITY,NEGRO,AFRICA,SUB-SAHARA,WEST AFRICA,NIGERIA,UMU - IGBO,SOUTH EAST ,ANAMBRA ,ANAMBRA SOUTH ,IHIALA,IHIALA,IHIALA I,IHIALA,EZI,AMAMU,DIOHA,UMUNNEBOGBU,UMUOKPARAUGHANZE,,,,,,,,,,,,,,ANAMBRA,,,,,,,,,,,,,,,
HUMANITY,NEGRO,AFRICA,SUB-SAHARA,WEST AFRICA,NIGERIA,UMU - IGBO,SOUTH EAST ,ANAMBRA ,ANAMBRA SOUTH ,IHIALA,IHIALA,IHIALA I,IHIALA,EZI,AMAMU,DIOHA,UMUNNEBOGBU,UMUGOGBUO,,,,,,,,,,,,,,ANAMBRA,,,,,,,,,,,,,,,
HUMANITY,NEGRO,AFRICA,SUB-SAHARA,WEST AFRICA,NIGERIA,UMU - IGBO,SOUTH EAST ,ANAMBRA ,ANAMBRA SOUTH ,IHIALA,IHIALA,IHIALA I,IHIALA,EZI,AMAMU,DIOHA,UMUNNEBOGBU,UMUAHIBAEKWE,,UMUNNEMOLISA,NWANETI,,,,,,,,,,,ANAMBRA,,,,,,,,,,,,,,,
HUMANITY,NEGRO,AFRICA,SUB-SAHARA,WEST AFRICA,NIGERIA,UMU - IGBO,SOUTH EAST ,ANAMBRA ,ANAMBRA SOUTH ,IHIALA,IHIALA,IHIALA I,IHIALA,EZI,AMAMU,DIOHA,UMUNNEBOGBU,UMUAHIBAEKWE,,UMUNNEMOLISA,OBIELISI,,,,,,,,,,,ANAMBRA,,,,,,,,,,,,,,,
