sub_continent_id,sub_continent_name,continent_id
SUBC_EASTERN_AFRICA,Eastern Africa,CONT_AFRICA
SUBC_MIDDLE_AFRICA,Middle Africa,CONT_AFRICA
SUBC_NORTHERN_AFRICA,Northern Africa,CONT_AFRICA
SUBC_SOUTHERN_AFRICA,Southern Africa,CONT_AFRICA
SUBC_WESTERN_AFRICA,Western Africa,CONT_AFRICA
SUBC_CARIBBEAN,Caribbean,CONT_AMERICAS
SUBC_CENTRAL_AMERICA,Central America,CONT_AMERICAS
SUBC_NORTHERN_AMERICA,Northern America,CONT_AMERICAS
SUBC_SOUTH_AMERICA,South America,CONT_AMERICAS
SUBC_CENTRAL_ASIA,Central Asia,CONT_ASIA
SUBC_EASTERN_ASIA,Eastern Asia,CONT_ASIA
SUBC_SOUTH_EASTERN_ASIA,South-Eastern Asia,CONT_ASIA
SUBC_SOUTHERN_ASIA,Southern Asia,CONT_ASIA
SUBC_WESTERN_ASIA,Western Asia,CONT_ASIA
SUBC_EASTERN_EUROPE,Eastern Europe,CONT_EUROPE
SUBC_NORTHERN_EUROPE,Northern Europe,CONT_EUROPE
SUBC_SOUTHERN_EUROPE,Southern Europe,CONT_EUROPE
SUBC_WESTERN_EUROPE,Western Europe,CONT_EUROPE
SUBC_AUSTRALIA_AND_NEW_ZEALAND,Australia and New Zealand,CONT_OCEANIA
SUBC_MELANESIA,Melanesia,CONT_OCEANIA
SUBC_MICRONESIA,Micronesia,CONT_OCEANIA
SUBC_POLYNESIA,Polynesia,CONT_OCEANIA
SUBC_ANTARCTICA,Antarctica,CONT_ANTARCTICA
