admin_level_3_id,admin_level_3_name,admin_level_2_id,admin_level_1_id,country_id
ADM3_BEN_ALIBORI_BANIKOARA_BANIKOARA,Banikoara,ADM2_BEN_ALIBORI_BANIKOARA,ADM1_BEN_ALIBORI,CT_BEN
ADM3_BEN_ALIBORI_BANIKOARA_FOUNOUGO,Founougo,ADM2_BEN_ALIBORI_BANIKOARA,ADM1_BEN_ALIBORI,CT_BEN
ADM3_BEN_ALIBORI_BANIKOARA_GOMPAROU,Gomparou,ADM2_BEN_ALIBORI_BANIKOARA,ADM1_BEN_ALIBORI,CT_BEN
ADM3_BEN_ALIBORI_BANIKOARA_GOUMORI,Goumori,ADM2_BEN_ALIBORI_BANIKOARA,ADM1_BEN_ALIBORI,CT_BEN
ADM3_BEN_ALIBORI_BANIKOARA_KOKEY,Kokey,ADM2_BEN_ALIBORI_BANIKOARA,ADM1_BEN_ALIBORI,CT_BEN
ADM3_BEN_ALIBORI_BANIKOARA_KOKIBOROU,Kokiborou,ADM2_BEN_ALIBORI_BANIKOARA,ADM1_BEN_ALIBORI,CT_BEN
ADM3_BEN_ALIBORI_BANIKOARA_OUNET,Ounet,ADM2_BEN_ALIBORI_BANIKOARA,ADM1_BEN_ALIBORI,CT_BEN
ADM3_BEN_ALIBORI_BANIKOARA_SOMPEREKOU,Sompérékou,ADM2_BEN_ALIBORI_BANIKOARA,ADM1_BEN_ALIBORI,CT_BEN
ADM3_BEN_ALIBORI_BANIKOARA_SOROKO,Soroko,ADM2_BEN_ALIBORI_BANIKOARA,ADM1_BEN_ALIBORI,CT_BEN
ADM3_BEN_ALIBORI_BANIKOARA_TOURA,Toura,ADM2_BEN_ALIBORI_BANIKOARA,ADM1_BEN_ALIBORI,CT_BEN
ADM3_BEN_ALIBORI_GOGOUNOU_BAGOU,Bagou,ADM2_BEN_ALIBORI_GOGOUNOU,ADM1_BEN_ALIBORI,CT_BEN
ADM3_BEN_ALIBORI_GOGOUNOU_GOGOUNOU,Gogounou,ADM2_BEN_ALIBORI_GOGOUNOU,ADM1_BEN_ALIBORI,CT_BEN
ADM3_BEN_ALIBORI_GOGOUNOU_GOUNAROU,Gounarou,ADM2_BEN_ALIBORI_GOGOUNOU,ADM1_BEN_ALIBORI,CT_BEN
ADM3_BEN_ALIBORI_GOGOUNOU_OUARA,Ouara,ADM2_BEN_ALIBORI_GOGOUNOU,ADM1_BEN_ALIBORI,CT_BEN
ADM3_BEN_ALIBORI_GOGOUNOU_SORI,Sori,ADM2_BEN_ALIBORI_GOGOUNOU,ADM1_BEN_ALIBORI,CT_BEN
ADM3_BEN_ALIBORI_GOGOUNOU_ZOUNGOU_PANTROSSI,Zoungou-Pantrossi,ADM2_BEN_ALIBORI_GOGOUNOU,ADM1_BEN_ALIBORI,CT_BEN
ADM3_BEN_ALIBORI_KANDI_ANGARADEBOU,Angaradébou,ADM2_BEN_ALIBORI_KANDI,ADM1_BEN_ALIBORI,CT_BEN
ADM3_BEN_ALIBORI_KANDI_BENSEKOU,Bensékou,ADM2_BEN_ALIBORI_KANDI,ADM1_BEN_ALIBORI,CT_BEN
ADM3_BEN_ALIBORI_KANDI_DONWARI,Donwari,ADM2_BEN_ALIBORI_KANDI,ADM1_BEN_ALIBORI,CT_BEN
ADM3_BEN_ALIBORI_KANDI_KANDI_I,Kandi I,ADM2_BEN_ALIBORI_KANDI,ADM1_BEN_ALIBORI,CT_BEN
ADM3_BEN_ALIBORI_KANDI_KANDI_II,Kandi II,ADM2_BEN_ALIBORI_KANDI,ADM1_BEN_ALIBORI,CT_BEN
ADM3_BEN_ALIBORI_KANDI_KANDI_III,Kandi III,ADM2_BEN_ALIBORI_KANDI,ADM1_BEN_ALIBORI,CT_BEN
ADM3_BEN_ALIBORI_KANDI_KASSAKOU,Kassakou,ADM2_BEN_ALIBORI_KANDI,ADM1_BEN_ALIBORI,CT_BEN
ADM3_BEN_ALIBORI_KANDI_SAAH,Saah,ADM2_BEN_ALIBORI_KANDI,ADM1_BEN_ALIBORI,CT_BEN
ADM3_BEN_ALIBORI_KANDI_SAM,Sam,ADM2_BEN_ALIBORI_KANDI,ADM1_BEN_ALIBORI,CT_BEN
ADM3_BEN_ALIBORI_KANDI_SONSORO,Sonsoro,ADM2_BEN_ALIBORI_KANDI,ADM1_BEN_ALIBORI,CT_BEN
ADM3_BEN_ALIBORI_KARIMAMA_BIRNI_LAFIA,Birni-Lafia,ADM2_BEN_ALIBORI_KARIMAMA,ADM1_BEN_ALIBORI,CT_BEN
ADM3_BEN_ALIBORI_KARIMAMA_BOGO_BOGO,Bogo-Bogo,ADM2_BEN_ALIBORI_KARIMAMA,ADM1_BEN_ALIBORI,CT_BEN
ADM3_BEN_ALIBORI_KARIMAMA_KARIMAMA,Karimama,ADM2_BEN_ALIBORI_KARIMAMA,ADM1_BEN_ALIBORI,CT_BEN
ADM3_BEN_ALIBORI_KARIMAMA_KOMPA,Kompa,ADM2_BEN_ALIBORI_KARIMAMA,ADM1_BEN_ALIBORI,CT_BEN
ADM3_BEN_ALIBORI_KARIMAMA_MONSEY,Monsey,ADM2_BEN_ALIBORI_KARIMAMA,ADM1_BEN_ALIBORI,CT_BEN
ADM3_BEN_ALIBORI_MALANVILLE_GAROU,Garou,ADM2_BEN_ALIBORI_MALANVILLE,ADM1_BEN_ALIBORI,CT_BEN
ADM3_BEN_ALIBORI_MALANVILLE_GUENE,Guénè,ADM2_BEN_ALIBORI_MALANVILLE,ADM1_BEN_ALIBORI,CT_BEN
ADM3_BEN_ALIBORI_MALANVILLE_MALANVILLE,Malanville,ADM2_BEN_ALIBORI_MALANVILLE,ADM1_BEN_ALIBORI,CT_BEN
ADM3_BEN_ALIBORI_MALANVILLE_MANDECALI,Mandécali,ADM2_BEN_ALIBORI_MALANVILLE,ADM1_BEN_ALIBORI,CT_BEN
ADM3_BEN_ALIBORI_MALANVILLE_TOMBOUTOU,Tomboutou,ADM2_BEN_ALIBORI_MALANVILLE,ADM1_BEN_ALIBORI,CT_BEN
ADM3_BEN_ALIBORI_SEGBANA_LIBANTE,Libantè,ADM2_BEN_ALIBORI_SEGBANA,ADM1_BEN_ALIBORI,CT_BEN
ADM3_BEN_ALIBORI_SEGBANA_LIBOUSSOU,Liboussou,ADM2_BEN_ALIBORI_SEGBANA,ADM1_BEN_ALIBORI,CT_BEN
ADM3_BEN_ALIBORI_SEGBANA_LOUGOU,Lougou,ADM2_BEN_ALIBORI_SEGBANA,ADM1_BEN_ALIBORI,CT_BEN
ADM3_BEN_ALIBORI_SEGBANA_SOKOTINDJI,Sokotindji,ADM2_BEN_ALIBORI_SEGBANA,ADM1_BEN_ALIBORI,CT_BEN
ADM3_BEN_ALIBORI_SEGBANA_SEGBANA,Ségbana,ADM2_BEN_ALIBORI_SEGBANA,ADM1_BEN_ALIBORI,CT_BEN
ADM3_BEN_ATAKORA_BOUKOUMBE_BOUKOUMBE,Boukoumbé,ADM2_BEN_ATAKORA_BOUKOUMBE,ADM1_BEN_ATAKORA,CT_BEN
ADM3_BEN_ATAKORA_BOUKOUMBE_DIPOLI,Dipoli,ADM2_BEN_ATAKORA_BOUKOUMBE,ADM1_BEN_ATAKORA,CT_BEN
ADM3_BEN_ATAKORA_BOUKOUMBE_KORONTIERE,Korontière,ADM2_BEN_ATAKORA_BOUKOUMBE,ADM1_BEN_ATAKORA,CT_BEN
ADM3_BEN_ATAKORA_BOUKOUMBE_KOSSOUCOINGOU,Kossoucoingou,ADM2_BEN_ATAKORA_BOUKOUMBE,ADM1_BEN_ATAKORA,CT_BEN
ADM3_BEN_ATAKORA_BOUKOUMBE_MANTA,Manta,ADM2_BEN_ATAKORA_BOUKOUMBE,ADM1_BEN_ATAKORA,CT_BEN
ADM3_BEN_ATAKORA_BOUKOUMBE_NATTA,Natta,ADM2_BEN_ATAKORA_BOUKOUMBE,ADM1_BEN_ATAKORA,CT_BEN
ADM3_BEN_ATAKORA_BOUKOUMBE_TABOTA,Tabota,ADM2_BEN_ATAKORA_BOUKOUMBE,ADM1_BEN_ATAKORA,CT_BEN
ADM3_BEN_ATAKORA_COBLY_COBLY,Cobly,ADM2_BEN_ATAKORA_COBLY,ADM1_BEN_ATAKORA,CT_BEN
ADM3_BEN_ATAKORA_COBLY_DATORI,Datori,ADM2_BEN_ATAKORA_COBLY,ADM1_BEN_ATAKORA,CT_BEN
ADM3_BEN_ATAKORA_COBLY_KOUNTORI,Kountori,ADM2_BEN_ATAKORA_COBLY,ADM1_BEN_ATAKORA,CT_BEN
ADM3_BEN_ATAKORA_COBLY_TAPOGA,Tapoga,ADM2_BEN_ATAKORA_COBLY,ADM1_BEN_ATAKORA,CT_BEN
ADM3_BEN_ATAKORA_KEROU_BRIGNAMARO,Brignamaro,ADM2_BEN_ATAKORA_KEROU,ADM1_BEN_ATAKORA,CT_BEN
ADM3_BEN_ATAKORA_KEROU_FIROU,Firou,ADM2_BEN_ATAKORA_KEROU,ADM1_BEN_ATAKORA,CT_BEN
