country_id,country_name,adm3_status,adm3_strategy,adm3_units_added,notes
CT_BEN,Benin,seed_complete,adm2_to_adm3_via_arrondissement_layer,546,ADM3 seeded from the arrondissement layer under the existing commune ADM2 structure. The commune-by-arrondissement list yields 546 named rows; this is a strong ancestry-ready production base and can later be enriched with village and quartier/community detail.
CT_BLZ,Belize,seed_complete,direct_adm1_to_adm3_via_municipality_layer,245,"ADM3 seeded directly from Belize's municipality list by district. ADM2 is intentionally skipped by design for ancestry modeling, so district flows directly to town/village/settlement."
CT_BRA,Brazil,seed_partial,adm2_to_adm3_via_municipality_anchor_seed,55,"ADM3 seeded beneath the selected Brazil ADM2 municipalities using one municipality-equivalent anchor settlement for each included unit. This is an ancestry-ready diaspora-community seed, not a complete nationwide place gazetteer or full municipal district list."
CT_BRB,Barbados,seed_partial,direct_adm1_to_adm3_via_settlement_seed,257,"ADM3 seeded directly beneath Barbados's 11 parishes using the current published list of named cities, towns, villages, and communities by parish. ADM2 is intentionally skipped by design for Barbados in this genealogy model; the source list is explicitly incomplete, so this is a strong ancestry-ready seed rather than a complete national settlement gazetteer."
CT_CAN,Canada,seed_partial,adm2_to_adm3_via_census_subdivision_anchor_seed,30,"ADM3 seeded beneath the selected census division / county-equivalent ADM2 rows using one municipality-equivalent anchor settlement for each included unit. This is an ancestry-ready diaspora-community seed, not a complete nationwide place gazetteer."
CT_CMR,Cameroon,seed_partial,adm2_to_adm3_via_commune_municipality_seed,332,"ADM3 seeded from the published municipality/commune list under the existing department ADM2 structure. This is a broad ancestry-ready seed, but not a full all-arrondissement gazetteer; urban district subdivisions of Douala and Yaoundé can be enriched later if needed."
CT_CUB,Cuba,seed_partial,adm2_to_adm3_via_municipality_anchor_seed_plus_special_municipality_anchor,168,"ADM3 seeded beneath Cuba's ADM2 municipalities using one municipality-equivalent anchor for each included unit, plus Nueva Gerona as the direct ADM3 anchor for Isla de la Juventud, which is a special municipality at provincial level. This is an ancestry-ready seed rather than a full consejo popular or barrio gazetteer."
CT_DMA,Dominica,seed_partial,direct_adm1_to_adm3_via_parish_settlement_seed,110,"ADM3 seeded directly beneath Dominica's 10 parishes using a parish-based settlement seed. ADM2 is intentionally skipped by design for Dominica in this genealogy model. The build combines parish pages, the current list of settlements, and current local-authority names, including the Kalinago Territory hamlets in Saint David Parish, so this is an ancestry-ready partial seed rather than a complete national gazetteer."
CT_DOM,Dominican Republic,seed_complete,adm2_to_adm3_via_municipality_anchor_seed,159,"ADM3 seeded beneath the existing municipality ADM2 rows using one municipality-equivalent anchor for each included unit, including Distrito Nacional. This is an ancestry-ready production seed rather than a full barrio, sección, or paraje gazetteer."
CT_ESP,Spain,seed_partial,adm2_to_adm3_via_provincial_capital_seed,21,"ADM3 seeded beneath the selected province ADM2 rows using each provincial capital municipality as an ancestry-ready anchor settlement. This is a selective diaspora-community seed beneath the included autonomous-community coverage, not a complete national municipality gazetteer."
CT_GAB,Gabon,complete_seed,adm2_to_adm3_via_canton_commune_arrondissement_layer,216,"ADM3 seeded from the published cantons/communes/arrondissements layer beneath provinces and departments. Libreville is handled via the existing pseudo-ADM2 row in Estuaire, while the four Franceville arrondissements are stored directly under Haut-Ogooué with blank admin_level_2_id because Franceville commune is not represented as an ADM2 row in the cumulative file."
CT_GBR,United Kingdom,seed_partial,adm2_to_adm3_via_county_town_or_principal_settlement_seed,19,"ADM3 seeded beneath selected ADM2 rows in England, Scotland, and Wales using a county town or principal settlement anchor for each included unit. This is an ancestry-ready diaspora-community seed, not a complete UK place gazetteer."
CT_GHA,Ghana,seed_complete,district_capital_seed,261,"ADM3 seeded as district-capital settlements under the published district list. This is a clean ancestry-ready seed layer, not a full town/village gazetteer."
CT_GNQ,Equatorial Guinea,seed_complete,adm2_to_adm3_via_municipality_layer,39,ADM3 seeded from municipality layer under the existing district ADM2 structure; suitable as ancestry dropdown base and can later be enriched with town/village/community-level settlements.
CT_GRD,Grenada,seed_partial,direct_adm1_to_adm3_via_parish_settlement_seed,344,"ADM3 seeded directly beneath Grenada's six parishes plus the Carriacou and Petite Martinique dependency using a filtered list of named settlements and communities from the current parish-by-parish settlement compilation. ADM2 is intentionally skipped by design for Grenada in this genealogy model; obvious street-only micro-entries were excluded, so this is an ancestry-ready partial seed rather than a complete national gazetteer."
CT_GUY,Guyana,seed_partial,ADM1=Region; ADM2=NDC/municipality seed; ADM3=anchor settlement seed,65,"ADM3 seeded one anchor settlement beneath each existing Guyana ADM2 row, using the primary toponym from NDC/municipality labels. Potaro-Siparuni and Upper Takutu-Upper Essequibo remain incomplete in ADM3 because those regions do not yet have a stable ADM2 parent layer in the current file."
