id,name,continentId,officialOrder
arab_world,Arab World,africa,1
sub_saharan_africa,Sub-Saharan Africa,africa,2
sahel_region,Sahel Region,africa,3
horn_of_africa,Horn of Africa,africa,4
great_lakes_africa,Great Lakes Africa,africa,5
southern_african_culture,Southern African Culture,africa,6
,,,
east_asian_civilization,East Asian Civilization,asia,1
south_asian_civilization,South Asian Civilization,asia,2
southeast_asian_culture,Southeast Asian Culture,asia,3
central_asian_steppe,Central Asian Steppe,asia,4
arabian_peninsula_culture,Arabian Peninsula Culture,asia,5
anatolian_culture,Anatolian Culture,asia,6
,,,
anglo_europe,Anglo Europe,europe,1
latin_europe,Latin Europe,europe,2
germanic_europe,Germanic Europe,europe,3
slavic_europe,Slavic Europe,europe,4
balkan_culture,Balkan Culture,europe,5
nordic_culture,Nordic Culture,europe,6
,,,
anglo_america,Anglo America,north_america,1
latin_caribbean,Latin Caribbean,north_america,2
francophone_caribbean,Francophone Caribbean,north_america,3
indigenous_mesoamerica,Indigenous Mesoamerica,north_america,4
,,,
andes_civilization,Andes Civilization,south_america,1
amazonian_culture,Amazonian Culture,south_america,2
southern_cone_culture,Southern Cone Culture,south_america,3
brazilian_culture,Brazilian Culture,south_america,4
,,,
australasian_culture,Australasian Culture,oceania,1
melanesian_culture,Melanesian Culture,oceania,2
micronesian_culture,Micronesian Culture,oceania,3
polynesian_culture,Polynesian Culture,oceania,4
