federal_constituency_id,federal_constituency_name,state_id
FC_001_AB,Aba North/Aba South,ST_AB
FC_002_AB,Arochukwu/Ohafia,ST_AB
FC_003_AB,Bende,ST_AB
FC_004_AB,Isiala Ngwa North/South,ST_AB
FC_005_AB,Isuikwuato/Umunneochi,ST_AB
FC_006_AB,Obingwa/Ugwunagbo/Osisioma,ST_AB
FC_007_AB,Umuahia North/Umuahia South/Ikwuano,ST_AB
FC_008_AB,Ukwa East/Ukwa West,ST_AB
FC_009_AD,Demsa/Numan/Lamurde,ST_AD
FC_010_AD,Fufore/Song,ST_AD
FC_011_AD,Jada/Ganye/Mayo Belwa/Toungo,ST_AD
FC_012_AD,Hong/Gombi,ST_AD
FC_013_AD,Guyuk/Shelleng,ST_AD
FC_014_AD,Michika/Madagali,ST_AD
FC_015_AD,Mubi North/Mubi South/Maiha,ST_AD
FC_016_AD,Yola North/Yola South/Girei,ST_AD
FC_027_AN,Anambra East/West,ST_AN
FC_028_AN,Onitsha North/Onitsha South,ST_AN
FC_029_AN,Ogbaru,ST_AN
FC_030_AN,Aguata,ST_AN
FC_031_AN,Oyi/Ayamelum,ST_AN
FC_032_AN,Awka North/South,ST_AN
FC_033_AN,Njikoka/Dunkofia/Anaocha,ST_AN
FC_034_AN,Idemili North/South,ST_AN
FC_035_AN,Ihiala,ST_AN
FC_036_AN,Nnewi North/Nnewi South/Ekwusigo,ST_AN
FC_037_AN,Orumba North/Orumba South,ST_AN
FC_017_AK,Abak/Etim Ekpo/Ika,ST_AK
FC_018_AK,Eket/Onna/Esit Eket/Ibeno,ST_AK
FC_019_AK,Etinan/Nsit Ibom/Nsit Ubium,ST_AK
FC_020_AK,Ikono/Ini,ST_AK
FC_021_AK,Ikot Abasi/Mkpat Enin/Eastern Obolo,ST_AK
FC_022_AK,Ikot Ekpene/Essien Udim/Obot Akara,ST_AK
FC_023_AK,Itu/Ibiono Ibom,ST_AK
FC_024_AK,Oron/Mbo/Okobo/Udung Uko/Urue-Offong/Oruko,ST_AK
FC_025_AK,Ukanafun/Oruko Anam,ST_AK
FC_026_AK,Uyo/Uruan/Nsit Atai/Ibesikpo Asutan,ST_AK
FC_038_BA,Alkaleri/Kirfi,ST_BA
