senatorial_id,senatorial_name,state_id
SD_AB_NORTH,Abia North,ST_AB
SD_AB_CENTRAL,Abia Central,ST_AB
SD_AB_SOUTH,Abia South,ST_AB
,,
SD_AD_NORTH,Adamawa North,ST_AD
SD_AD_CENTRAL,Adamawa Central,ST_AD
SD_AD_SOUTH,Adamawa South,ST_AD
,,
SD_AK_NORTH_EAST,Akwa Ibom North East,ST_AK
SD_AK_NORTH_WEST,Akwa Ibom North West,ST_AK
SD_AK_SOUTH,Akwa Ibom South,ST_AK
,,
SD_AN_NORTH,Anambra North,ST_AN
SD_AN_CENTRAL,Anambra Central,ST_AN
SD_AN_SOUTH,Anambra South,ST_AN
,,
SD_BA_NORTH,Bauchi North,ST_BA
SD_BA_CENTRAL,Bauchi Central,ST_BA
SD_BA_SOUTH,Bauchi South,ST_BA
,,
SD_BY_EAST,Bayelsa East,ST_BY
SD_BY_WEST,Bayelsa West,ST_BY
SD_BY_CENTRAL,Bayelsa Central,ST_BY
,,
SD_BE_NORTH_EAST,Benue North East,ST_BE
SD_BE_NORTH_WEST,Benue North West,ST_BE
SD_BE_SOUTH,Benue South,ST_BE
,,
SD_BO_NORTH,Borno North,ST_BO
SD_BO_CENTRAL,Borno Central,ST_BO
SD_BO_SOUTH,Borno South,ST_BO
,,
SD_CR_NORTH,Cross River North,ST_CR
SD_CR_CENTRAL,Cross River Central,ST_CR
SD_CR_SOUTH,Cross River South,ST_CR
,,
SD_DE_NORTH,Delta North,ST_DE
SD_DE_CENTRAL,Delta Central,ST_DE
SD_DE_SOUTH,Delta South,ST_DE
,,
SD_EB_NORTH,Ebonyi North,ST_EB
SD_EB_CENTRAL,Ebonyi Central,ST_EB
SD_EB_SOUTH,Ebonyi South,ST_EB
,,
SD_ED_NORTH,Edo North,ST_ED
SD_ED_CENTRAL,Edo Central,ST_ED
SD_ED_SOUTH,Edo South,ST_ED
,,
SD_EK_NORTH,Ekiti North,ST_EK
SD_EK_CENTRAL,Ekiti Central,ST_EK
SD_EK_SOUTH,Ekiti South,ST_EK
,,
SD_EN_EAST,Enugu East,ST_EN
SD_EN_WEST,Enugu West,ST_EN
SD_EN_NORTH,Enugu North,ST_EN
,,
SD_GO_NORTH,Gombe North,ST_GO
SD_GO_CENTRAL,Gombe Central,ST_GO
SD_GO_SOUTH,Gombe South,ST_GO
,,
SD_IM_NORTH,Imo North,ST_IM
SD_IM_EAST,Imo East,ST_IM
SD_IM_WEST,Imo West,ST_IM
,,
SD_JI_NORTH_WEST,Jigawa North West,ST_JI
SD_JI_NORTH_EAST,Jigawa North East,ST_JI
SD_JI_SOUTH_WEST,Jigawa South West,ST_JI
,,
SD_KD_NORTH,Kaduna North,ST_KD
SD_KD_CENTRAL,Kaduna Central,ST_KD
SD_KD_SOUTH,Kaduna South,ST_KD
,,
SD_KN_NORTH,Kano North,ST_KN
SD_KN_CENTRAL,Kano Central,ST_KN
SD_KN_SOUTH,Kano South,ST_KN
,,
SD_KT_NORTH,Katsina North,ST_KT
SD_KT_CENTRAL,Katsina Central,ST_KT
SD_KT_SOUTH,Katsina South,ST_KT
,,
SD_KE_NORTH,Kebbi North,ST_KE
SD_KE_CENTRAL,Kebbi Central,ST_KE
SD_KE_SOUTH,Kebbi South,ST_KE
,,
SD_KO_EAST,Kogi East,ST_KO
SD_KO_CENTRAL,Kogi Central,ST_KO
SD_KO_WEST,Kogi West,ST_KO
,,
SD_KW_NORTH,Kwara North,ST_KW
SD_KW_CENTRAL,Kwara Central,ST_KW
SD_KW_SOUTH,Kwara South,ST_KW
,,
SD_LA_CENTRAL,Lagos Central,ST_LA
SD_LA_EAST,Lagos East,ST_LA
SD_LA_WEST,Lagos West,ST_LA
,,
SD_NA_NORTH,Nasarawa North,ST_NA
SD_NA_SOUTH,Nasarawa South,ST_NA
SD_NA_WEST,Nasarawa West,ST_NA
,,
SD_NI_EAST,Niger East,ST_NI
SD_NI_NORTH,Niger North,ST_NI
SD_NI_SOUTH,Niger South,ST_NI
,,
SD_OG_CENTRAL,Ogun Central,ST_OG
SD_OG_EAST,Ogun East,ST_OG
SD_OG_WEST,Ogun West,ST_OG
,,
SD_ON_NORTH,Ondo North,ST_ON
SD_ON_CENTRAL,Ondo Central,ST_ON
SD_ON_SOUTH,Ondo South,ST_ON
,,
SD_OS_CENTRAL,Osun Central,ST_OS
SD_OS_EAST,Osun East,ST_OS
SD_OS_WEST,Osun West,ST_OS
,,
SD_OY_CENTRAL,Oyo Central,ST_OY
SD_OY_NORTH,Oyo North,ST_OY
SD_OY_SOUTH,Oyo South,ST_OY
,,
SD_PL_NORTH,Plateau North,ST_PL
SD_PL_CENTRAL,Plateau Central,ST_PL
SD_PL_SOUTH,Plateau South,ST_PL
,,
SD_RI_EAST,Rivers East,ST_RI
SD_RI_WEST,Rivers West,ST_RI
SD_RI_SOUTH_EAST,Rivers South East,ST_RI
,,
SD_SO_EAST,Sokoto East,ST_SO
SD_SO_NORTH,Sokoto North,ST_SO
SD_SO_SOUTH,Sokoto South,ST_SO
,,
SD_TA_NORTH,Taraba North,ST_TA
SD_TA_CENTRAL,Taraba Central,ST_TA
SD_TA_SOUTH,Taraba South,ST_TA
,,
SD_YO_EAST,Yobe East,ST_YO
SD_YO_NORTH,Yobe North,ST_YO
SD_YO_SOUTH,Yobe South,ST_YO
,,
SD_ZA_NORTH,Zamfara North,ST_ZA
SD_ZA_CENTRAL,Zamfara Central,ST_ZA
SD_ZA_WEST,Zamfara West,ST_ZA
,,
SD_FC,FCT Senatorial District,ST_FC
