state_constituency_id,state_constituency_name,state_id,lga_id
SC_001_AB,Aba North,ST_AB,LGA_AB_ABA_NORTH
SC_002_AB,Aba South,ST_AB,LGA_AB_ABA_SOUTH
SC_003_AB,Aba Central,ST_AB,LGA_AB_ABA_SOUTH
SC_004_AB,Arochukwu,ST_AB,LGA_AB_AROCHUKWU
SC_005_AB,Bende North,ST_AB,LGA_AB_BENDE
SC_006_AB,Bende South,ST_AB,LGA_AB_BENDE
SC_007_AB,Ikwuano,ST_AB,LGA_AB_IKWUANO
SC_008_AB,Isiala Ngwa North,ST_AB,LGA_AB_ISIALA_NGWA_NORTH
SC_009_AB,Isiala Ngwa South,ST_AB,LGA_AB_ISIALA_NGWA_SOUTH
SC_010_AB,Isuikwuato,ST_AB,LGA_AB_ISUIKWUATO
SC_011_AB,Obingwa East,ST_AB,LGA_AB_OBINGWA
SC_012_AB,Obingwa West,ST_AB,LGA_AB_OBINGWA
SC_013_AB,Ohafia North,ST_AB,LGA_AB_OHAFIA
SC_014_AB,Ohafia South,ST_AB,LGA_AB_OHAFIA
SC_015_AB,Osisioma North,ST_AB,LGA_AB_OSISIOMA
SC_016_AB,Osisioma South,ST_AB,LGA_AB_OSISIOMA
SC_017_AB,Umunneochi,ST_AB,LGA_AB_UMUNNEOCHI
SC_018_AB,Ugwunagbo,ST_AB,LGA_AB_UGWUNAGBO
SC_019_AB,Ukwa East,ST_AB,LGA_AB_UKWA_EAST
SC_020_AB,Ukwa West,ST_AB,LGA_AB_UKWA_WEST
SC_021_AB,Umuahia East,ST_AB,LGA_AB_UMUAHIA_NORTH
SC_022_AB,Umuahia West,ST_AB,LGA_AB_UMUAHIA_NORTH
SC_023_AB,Umuahia Central,ST_AB,LGA_AB_UMUAHIA_NORTH
SC_024_AB,Umuahia South,ST_AB,LGA_AB_UMUAHIA_SOUTH
SC_025_AD,Yola South,ST_AD,LGA_AD_YOLA_SOUTH
SC_026_AD,Yola North,ST_AD,LGA_AD_YOLA_NORTH
SC_027_AD,Mubi North,ST_AD,LGA_AD_MUBI_NORTH
SC_028_AD,Mubi South,ST_AD,LGA_AD_MUBI_SOUTH
SC_029_AD,Demsa,ST_AD,LGA_AD_DEMSA
SC_030_AD,Numan,ST_AD,LGA_AD_NUMAN
SC_031_AD,Lamurde,ST_AD,LGA_AD_LAMURDE
SC_032_AD,Song,ST_AD,LGA_AD_SONG
SC_033_AD,Girei,ST_AD,LGA_AD_GIREI
SC_034_AD,Ganye,ST_AD,LGA_AD_GANYE
SC_035_AD,Toungo,ST_AD,LGA_AD_TOUNGO
SC_036_AD,Koma/Leko,ST_AD,LGA_AD_JADA
SC_037_AD,Jada/Mbulo,ST_AD,LGA_AD_JADA
SC_038_AD,Fufore/Gurin,ST_AD,LGA_AD_FUFORE
SC_039_AD,Verre,ST_AD,LGA_AD_FUFORE
SC_040_AD,Uba/Gaya,ST_AD,LGA_AD_HONG
SC_041_AD,Hong,ST_AD,LGA_AD_HONG
SC_042_AD,Nasarawa/Binyeri,ST_AD,LGA_AD_MAYO_BELWA
SC_043_AD,Mayo-Belwa,ST_AD,LGA_AD_MAYO_BELWA
SC_044_AD,Gombi,ST_AD,LGA_AD_GOMBI
SC_045_AD,Shelleng,ST_AD,LGA_AD_SHELLENG
SC_046_AD,Madagali,ST_AD,LGA_AD_MADAGALI
SC_047_AD,Maiha,ST_AD,LGA_AD_MAIHA
SC_048_AD,Michika,ST_AD,LGA_AD_MICHIKA
SC_049_AD,Guyuk,ST_AD,LGA_AD_GUYUK
SC_050_AK,Abak,ST_AK,LGA_AK_ABAK
SC_051_AK,Eket,ST_AK,LGA_AK_EKET
SC_052_AK,Essien Udim,ST_AK,LGA_AK_ESSIEN_UDIM
SC_053_AK,Esit Eket/Ibeno,ST_AK,LGA_AK_ESIT_EKET
SC_053_AK,Esit Eket/Ibeno,ST_AK,LGA_AK_IBENO
SC_054_AK,Etim Ekpo/Ika,ST_AK,LGA_AK_ETIM_EKPO
SC_054_AK,Etim Ekpo/Ika,ST_AK,LGA_AK_IKA
SC_055_AK,Etinan,ST_AK,LGA_AK_ETINAN
SC_056_AK,Ibesikpo Asutan,ST_AK,LGA_AK_IBESIKPO_ASUTAN
SC_057_AK,Ibiono Ibom,ST_AK,LGA_AK_IBIONO_IBOM
SC_058_AK,Ikono,ST_AK,LGA_AK_IKONO
SC_059_AK,Ikot Abasi/Eastern Obolo,ST_AK,LGA_AK_EASTERN_OBOLO
SC_059_AK,Ikot Abasi/Eastern Obolo,ST_AK,LGA_AK_IKOT_ABASI
SC_060_AK,Ikot Ekpene/Obot Akara,ST_AK,LGA_AK_IKOT_EKPENE
SC_060_AK,Ikot Ekpene/Obot Akara,ST_AK,LGA_AK_OBOT_AKARA
SC_061_AK,Ini,ST_AK,LGA_AK_INI
SC_062_AK,Itu,ST_AK,LGA_AK_ITU
SC_063_AK,Mbo,ST_AK,LGA_AK_MBO
SC_064_AK,Mkpat Enin,ST_AK,LGA_AK_MKPAT_ENIN
SC_065_AK,Nsit Atai,ST_AK,LGA_AK_NSIT_ATAI
SC_066_AK,Nsit Ibom,ST_AK,LGA_AK_NSIT_IBOM
SC_067_AK,Nsit Ubium,ST_AK,LGA_AK_NSIT_UBIUM
SC_068_AK,Okobo,ST_AK,LGA_AK_OKOBO
SC_069_AK,Onna,ST_AK,LGA_AK_ONNA
SC_070_AK,Oron/Udung Uko,ST_AK,LGA_AK_ORON
SC_070_AK,Oron/Udung Uko,ST_AK,LGA_AK_UDUNG_UKO
SC_071_AK,Oruk Anam,ST_AK,LGA_AK_ORUK_ANAM
SC_072_AK,Ukanafun,ST_AK,LGA_AK_UKANAFUN
SC_073_AK,Uruan,ST_AK,LGA_AK_URUAN
SC_074_AK,Urue Offong/Oruko,ST_AK,LGA_AK_URUE_OFFONG_ORUKO
SC_075_AK,Uyo,ST_AK,LGA_AK_UYO
SC_076_AN,Aguata I,ST_AN,LGA_AN_AGUATA
SC_077_AN,Aguata II,ST_AN,LGA_AN_AGUATA
SC_078_AN,Anambra East,ST_AN,LGA_AN_ANAMBRA_EAST
SC_079_AN,Anambra West,ST_AN,LGA_AN_ANAMBRA_WEST
SC_080_AN,Anaocha I,ST_AN,LGA_AN_ANAOCHA
SC_081_AN,Anaocha II,ST_AN,LGA_AN_ANAOCHA
SC_082_AN,Awka North,ST_AN,LGA_AN_AWKA_NORTH
SC_083_AN,Awka South I,ST_AN,LGA_AN_AWKA_SOUTH
SC_084_AN,Awka South II,ST_AN,LGA_AN_AWKA_SOUTH
SC_085_AN,Idemili South,ST_AN,LGA_AN_IDEMILI_SOUTH
SC_086_AN,Idemili North,ST_AN,LGA_AN_IDEMILI_NORTH
SC_087_AN,Ihiala I,ST_AN,LGA_AN_IHIALA
SC_088_AN,Ihiala II,ST_AN,LGA_AN_IHIALA
SC_089_AN,Njikoka I,ST_AN,LGA_AN_NJIKOKA
SC_090_AN,Njikoka II,ST_AN,LGA_AN_NJIKOKA
SC_091_AN,Nnewi North,ST_AN,LGA_AN_NNEWI_NORTH
SC_092_AN,Nnewi South I,ST_AN,LGA_AN_NNEWI_SOUTH
SC_093_AN,Nnewi South II,ST_AN,LGA_AN_NNEWI_SOUTH
SC_094_AN,Ekwusigo,ST_AN,LGA_AN_EKWUSIGO
SC_095_AN,Ogbaru I,ST_AN,LGA_AN_OGBARU
SC_096_AN,Ogbaru II,ST_AN,LGA_AN_OGBARU
SC_097_AN,Ayamelum,ST_AN,LGA_AN_AYAMELUM
SC_098_AN,Dunukofia,ST_AN,LGA_AN_DUNUKOFIA
SC_099_AN,Onitsha North I,ST_AN,LGA_AN_ONITSHA_NORTH
SC_100_AN,Onitsha North II,ST_AN,LGA_AN_ONITSHA_NORTH
SC_101_AN,Onitsha South I,ST_AN,LGA_AN_ONITSHA_SOUTH
SC_102_AN,Onitsha South II,ST_AN,LGA_AN_ONITSHA_SOUTH
SC_103_AN,Orumba North,ST_AN,LGA_AN_ORUMBA_NORTH
SC_104_AN,Orumba South,ST_AN,LGA_AN_ORUMBA_SOUTH
SC_105_AN,Oyi,ST_AN,LGA_AN_OYI
SC_106_BA,Pali,ST_BA,LGA_BA_ALKALERI
SC_107_BA,Duguri/Gwana,ST_BA,LGA_BA_ALKALERI
SC_108_BA,Kirfi,ST_BA,LGA_BA_KIRFI
SC_109_BA,Bauchi,ST_BA,LGA_BA_BAUCHI
SC_110_BA,Zungur/Galambi,ST_BA,LGA_BA_BAUCHI
SC_111_BA,Dass,ST_BA,LGA_BA_DASS
SC_112_BA,Lere/Bula,ST_BA,LGA_BA_TAFAWA_BALEWA
SC_113_BA,Bogoro,ST_BA,LGA_BA_BOGORO
SC_114_BA,Jama‰Ûªa/Toro,ST_BA,LGA_BA_TORO
SC_115_BA,Warji,ST_BA,LGA_BA_WARJI
SC_116_BA,Lame,ST_BA,LGA_BA_TORO
SC_117_BA,Ningi,ST_BA,LGA_BA_NINGI
SC_118_BA,Burra,ST_BA,LGA_BA_NINGI
SC_119_BA,Chiroma,ST_BA,LGA_BA_MISAU
SC_120_BA,Hardawa,ST_BA,LGA_BA_MISAU
SC_121_BA,Dambam/Dagauda/Jalam,ST_BA,LGA_BA_DAMBAN
SC_122_BA,Darazo,ST_BA,LGA_BA_DARAZO
SC_123_BA,Sade,ST_BA,LGA_BA_DARAZO
SC_124_BA,Ganjuwa East,ST_BA,LGA_BA_GANJUWA
SC_125_BA,Ganjuwa West,ST_BA,LGA_BA_GANJUWA
SC_126_BA,Katagum,ST_BA,LGA_BA_KATAGUM
SC_127_BA,Sakwa,ST_BA,LGA_BA_ZAKI
SC_128_BA,Jama‰Ûªare,ST_BA,LGA_BA_JAMA_ARE
SC_129_BA,Itas/Gadau,ST_BA,LGA_BA_ITAS_GADAU
SC_130_BA,Disina,ST_BA,LGA_BA_SHIRA
SC_131_BA,Shira,ST_BA,LGA_BA_SHIRA
SC_132_BA,Giade,ST_BA,LGA_BA_GIADE
SC_133_BA,Azare,ST_BA,LGA_BA_KATAGUM
SC_134_BA,Madara/Chinade,ST_BA,LGA_BA_KATAGUM
SC_135_BA,Udubo,ST_BA,LGA_BA_GAMAWA
SC_136_BA,Gamawa,ST_BA,LGA_BA_GAMAWA
SC_137_BY,Brass I,ST_BY,LGA_BY_BRASS
SC_138_BY,Brass II,ST_BY,LGA_BY_BRASS
SC_139_BY,Brass III,ST_BY,LGA_BY_BRASS
SC_140_BY,Nembe I,ST_BY,LGA_BY_NEMBE
SC_141_BY,Nembe II,ST_BY,LGA_BY_NEMBE
SC_142_BY,Nembe III,ST_BY,LGA_BY_NEMBE
SC_143_BY,Ogbia I,ST_BY,LGA_BY_OGBIA
SC_144_BY,Ogbia II,ST_BY,LGA_BY_OGBIA
SC_145_BY,Ogbia III,ST_BY,LGA_BY_OGBIA
SC_146_BY,Kolokuma/Opokuma I,ST_BY,LGA_BY_KOLOKUMA_OPOKUMA
SC_147_BY,Kolokuma/Opokuma II,ST_BY,LGA_BY_KOLOKUMA_OPOKUMA
SC_148_BY,Yenagoa I,ST_BY,LGA_BY_YENAGOA
SC_149_BY,Yenagoa II,ST_BY,LGA_BY_YENAGOA
SC_150_BY,Yenagoa III,ST_BY,LGA_BY_YENAGOA
SC_151_BY,Ekeremor I,ST_BY,LGA_BY_EKEREMOR
SC_152_BY,Ekeremor II,ST_BY,LGA_BY_EKEREMOR
SC_153_BY,Ekeremor III,ST_BY,LGA_BY_EKEREMOR
SC_154_BY,Sagbama I,ST_BY,LGA_BY_SAGBAMA
SC_155_BY,Sagbama II,ST_BY,LGA_BY_SAGBAMA
SC_156_BY,Sagbama III,ST_BY,LGA_BY_SAGBAMA
SC_157_BY,Southern Ijaw I,ST_BY,LGA_BY_SOUTHERN_IJAW
SC_158_BY,Southern Ijaw II,ST_BY,LGA_BY_SOUTHERN_IJAW
SC_159_BY,Southern Ijaw III,ST_BY,LGA_BY_SOUTHERN_IJAW
SC_160_BY,Southern Ijaw IV,ST_BY,LGA_BY_SOUTHERN_IJAW
SC_161_BN,Ado,ST_BE,LGA_BE_ADO
SC_162_BN,Agatu,ST_BE,LGA_BE_AGATU
SC_163_BN,Apa,ST_BE,LGA_BE_APA
SC_164_BN,Buruku,ST_BE,LGA_BE_BURUKU
SC_165_BN,Gboko I(East),ST_BE,LGA_BE_GBOKO
SC_166_BN,Gboko West,ST_BE,LGA_BE_GBOKO
SC_167_BN,Guma,ST_BE,LGA_BE_GUMA
SC_168_BN,Gwer East,ST_BE,LGA_BE_GWER_EAST
SC_169_BN,Gwer West,ST_BE,LGA_BE_GWER_WEST
SC_170_BN,Katsina Ala East,ST_BE,LGA_BE_KATSINA_ALA
SC_171_BN,Katsina-Ala West,ST_BE,LGA_BE_KATSINA_ALA
SC_172_BN,Konshisha I(Gaav),ST_BE,LGA_BE_KONSHISHA
SC_173_BN,Kwande East,ST_BE,LGA_BE_KWANDE
SC_174_BN,Kwande West,ST_BE,LGA_BE_KWANDE
SC_175_BN,Logo,ST_BE,LGA_BE_LOGO
