id,name,townAdminLevel1Id,officialOrder
anambra_ihiala_ihiala_ezi_amamu,Amamu,anambra_ihiala_ihiala_ezi,1
anambra_ihiala_ihiala_ezi_uzoakwa,Uzoakwa,anambra_ihiala_ihiala_ezi,2
anambra_ihiala_ihiala_ezi_ubahuekwem,Ubahuekwem,anambra_ihiala_ihiala_ezi,3
anambra_ihiala_ihiala_ezi_akwa,Akwa,anambra_ihiala_ihiala_ezi,4
anambra_ihiala_ihiala_ezi_ogboro,Ogboro,anambra_ihiala_ihiala_ezi,5
anambra_ihiala_ihiala_ihite_umudara,Umudara,anambra_ihiala_ihiala_ihite,1
anambra_ihiala_ihiala_ihite_umuduru,Umuduru,anambra_ihiala_ihiala_ihite,2
anambra_ihiala_ihiala_ihite_umuezeawala,Umuezeawala,anambra_ihiala_ihiala_ihite,3
anambra_ihiala_ihiala_ihite_amaduru,Amaduru,anambra_ihiala_ihiala_ihite,4
anambra_ihiala_ihiala_ihite_umuedike,Umuedike,anambra_ihiala_ihiala_ihite,5
anambra_ihiala_okija_ubahua_bu_ubahu_ubahu,Ubahu,anambra_ihiala_okija_ubahua_bu_ubahu,1
anambra_ihiala_okija_ubahua_bu_ubahu_umuohi,Umuohi,anambra_ihiala_okija_ubahua_bu_ubahu,2
anambra_ihiala_okija_ubahua_bu_ubahu_ezinaukpodu,Ezinaukpodu,anambra_ihiala_okija_ubahua_bu_ubahu,3
anambra_ihiala_okija_ihitea_bu_ihite_ubahu_eze,Ubahu - Eze,anambra_ihiala_okija_ihitea_bu_ihite,1
anambra_ihiala_okija_ihitea_bu_ihite_ubahumonum,Ubahumonum,anambra_ihiala_okija_ihitea_bu_ihite,2
anambra_ihiala_okija_ihitea_bu_ihite_isieke_ubahu_udara,Isieke/Ubahu - Udara,anambra_ihiala_okija_ihitea_bu_ihite,3
anambra_ihiala_okija_uhu0b0_na_uhuowelle_uhuowelle,Uhuowelle,anambra_ihiala_okija_uhu0b0_na_uhuowelle,1
anambra_ihiala_okija_uhu0b0_na_uhuowelle_umuatuegwu_uhudim_ohukabia,Umuatuegwu/Uhudim/Ohukabia,anambra_ihiala_okija_uhu0b0_na_uhuowelle,2
anambra_ihiala_okija_uhu0b0_na_uhuowelle_ofor_na_ngwu,Ofor Na Ngwu,anambra_ihiala_okija_uhu0b0_na_uhuowelle,3
anambra_ekwusigo_oraifite_unodu_isingwu,Isingwu,anambra_ekwusigo_oraifite_unodu,1
anambra_ekwusigo_oraifite_unodu_ibolo,Ibolo,anambra_ekwusigo_oraifite_unodu,2
anambra_ekwusigo_oraifite_unodu_umuezopi,Umuezopi,anambra_ekwusigo_oraifite_unodu,3
anambra_ekwusigo_oraifite_ifite_awo,Awo,anambra_ekwusigo_oraifite_ifite,1
anambra_ekwusigo_oraifite_ifite_urudunu,Urudunu,anambra_ekwusigo_oraifite_ifite,2
anambra_ekwusigo_oraifite_ifite_umuezeakwa,Umuezeakwa,anambra_ekwusigo_oraifite_ifite,3
anambra_ekwusigo_oraifite_ifite_umunakwa,Umunakwa,anambra_ekwusigo_oraifite_ifite,4
anambra_ekwusigo_oraifite_ifite_umuonyeaka,Umuonyeaka,anambra_ekwusigo_oraifite_ifite,5
anambra_ekwusigo_oraifite_ifite_amakofa,Amakofa,anambra_ekwusigo_oraifite_ifite,6
anambra_anaocha_agulu_ifite_enu_amatutu,Amatutu,anambra_anaocha_agulu_ifite_enu,1
anambra_anaocha_agulu_ifite_enu_okpu_ifite,Okpu - Ifite,anambra_anaocha_agulu_ifite_enu,2
anambra_anaocha_agulu_ifite_enu_umubiala,Umubiala,anambra_anaocha_agulu_ifite_enu,3
anambra_anaocha_agulu_ifite_enu_nkitaku,Nkitaku,anambra_anaocha_agulu_ifite_enu,4
anambra_anaocha_agulu_ifite_enu_umuowelle,Umuowelle,anambra_anaocha_agulu_ifite_enu,5
anambra_idemili_south_nnobi_ebenesi_umuona,Umuona,anambra_idemili_south_nnobi_ebenesi,1
anambra_idemili_south_nnobi_ebenesi_ifite_ogbeaduji,Ifite Ogbeaduji,anambra_idemili_south_nnobi_ebenesi,2
anambra_idemili_south_nnobi_ebenesi_ubaha,Ubaha,anambra_idemili_south_nnobi_ebenesi,3
anambra_idemili_south_nnobi_ebenesi_amadunu,Amadunu,anambra_idemili_south_nnobi_ebenesi,4
anambra_idemili_south_nnobi_ebenesi_umuafor,Umuafor,anambra_idemili_south_nnobi_ebenesi,5
anambra_idemili_south_nnobi_ebenesi_umuru,Umuru,anambra_idemili_south_nnobi_ebenesi,6
anambra_idemili_south_nnobi_ngo_umuegbu_ezigbom,Umuegbu Ezigbom,anambra_idemili_south_nnobi_ngo,1
anambra_idemili_south_nnobi_ngo_umunebo_ezigbom,Umunebo Ezigbom,anambra_idemili_south_nnobi_ngo,2
anambra_idemili_south_nnobi_ngo_umuikechem_ndam,Umuikechem Ndam,anambra_idemili_south_nnobi_ngo,3
anambra_idemili_south_nnobi_ngo_umuezeme_ndam,Umuezeme Ndam,anambra_idemili_south_nnobi_ngo,4
anambra_idemili_south_nnobi_ngo_obinuno_umuagu,Obinuno Umuagu,anambra_idemili_south_nnobi_ngo,5
anambra_idemili_south_nnobi_ngo_obinagu_umuagu,Obinagu Umuagu,anambra_idemili_south_nnobi_ngo,6
anambra_ayamelum_anaku_umuria_akpaa,Akpaa,anambra_ayamelum_anaku_umuria,1
anambra_ayamelum_anaku_umuria_umuerechi,Umuerechi,anambra_ayamelum_anaku_umuria,2
anambra_ayamelum_anaku_umuria_umuagu,Umuagu,anambra_ayamelum_anaku_umuria,3
anambra_ayamelum_anaku_umuria_umuriana,Umuriana,anambra_ayamelum_anaku_umuria,4
anambra_ayamelum_anaku_umuria_umurienu,Umurienu,anambra_ayamelum_anaku_umuria,5
anambra_ayamelum_anaku_ikenga_atava,Atava,anambra_ayamelum_anaku_ikenga,1
anambra_ayamelum_anaku_ikenga_obukwu,Obukwu,anambra_ayamelum_anaku_ikenga,2
anambra_ayamelum_anaku_umuereagu_akpi,Akpi,anambra_ayamelum_anaku_umuereagu,1
anambra_ayamelum_anaku_umuereagu_umuotobo,Umuotobo,anambra_ayamelum_anaku_umuereagu,2
anambra_ayamelum_anaku_umuereagu_umuowa,Umuowa,anambra_ayamelum_anaku_umuereagu,3
anambra_ayamelum_anaku_umuereagu_isiokwe,Isiokwe,anambra_ayamelum_anaku_umuereagu,4
anambra_ayamelum_anaku_umuereagu_umuoka,Umuoka,anambra_ayamelum_anaku_umuereagu,5
anambra_ayamelum_anaku_umuereagu_umuerekwelagu,Umuerekwelagu,anambra_ayamelum_anaku_umuereagu,6
