id,name,kindredId,officialOrder
anambra_ihiala_ihiala_ezi_amamu_dioha_umuadobihi_umuogwazu_uzokaenyi_agbasiere,Agbasiere,anambra_ihiala_ihiala_ezi_amamu_dioha_umuadobihi_umuogwazu_uzokaenyi,1
anambra_ihiala_ihiala_ezi_amamu_dioha_umuadobihi_umuogwazu_iroha_ofodimogo,Ofodimogo,anambra_ihiala_ihiala_ezi_amamu_dioha_umuadobihi_umuogwazu_iroha,1
anambra_ihiala_okija_ubahua_bu_ubahu_ubahu_etiti_ubahu_umuapani_dara_umuonwusirikam_umuagbagosim,Umuagbagosim,anambra_ihiala_okija_ubahua_bu_ubahu_ubahu_etiti_ubahu_umuapani_dara_umuonwusirikam,1
anambra_ihiala_okija_ubahua_bu_ubahu_ubahu_etiti_ubahu_umuapani_dara_umuonwusirikam_agbagosim,Agbagosim,anambra_ihiala_okija_ubahua_bu_ubahu_ubahu_etiti_ubahu_umuapani_dara_umuonwusirikam,2
anambra_ihiala_okija_ubahua_bu_ubahu_ubahu_etiti_ubahu_umuapani_dara_umuonwusirikam_emegwa,Emegwa,anambra_ihiala_okija_ubahua_bu_ubahu_ubahu_etiti_ubahu_umuapani_dara_umuonwusirikam,3
anambra_ihiala_okija_ubahua_bu_ubahu_ubahu_etiti_ubahu_umuapani_dara_umuonwusirikam_ibe,Ibe,anambra_ihiala_okija_ubahua_bu_ubahu_ubahu_etiti_ubahu_umuapani_dara_umuonwusirikam,4
anambra_ihiala_okija_ubahua_bu_ubahu_ubahu_etiti_ubahu_umuapani_dara_umuonwusirikam_ejezie,Ejezie,anambra_ihiala_okija_ubahua_bu_ubahu_ubahu_etiti_ubahu_umuapani_dara_umuonwusirikam,5
anambra_ihiala_okija_ubahua_bu_ubahu_ubahu_etiti_ubahu_umuapani_dara_umuonwusirikam_anadi,Anadi,anambra_ihiala_okija_ubahua_bu_ubahu_ubahu_etiti_ubahu_umuapani_dara_umuonwusirikam,6
anambra_ihiala_okija_ubahua_bu_ubahu_ubahu_etiti_ubahu_umuapani_dara_umuonwusirikam_akaforonye,Akaforonye,anambra_ihiala_okija_ubahua_bu_ubahu_ubahu_etiti_ubahu_umuapani_dara_umuonwusirikam,7
anambra_ihiala_okija_ubahua_bu_ubahu_ubahu_etiti_ubahu_umuapani_dara_umuonwusirikam_okoli,Okoli,anambra_ihiala_okija_ubahua_bu_ubahu_ubahu_etiti_ubahu_umuapani_dara_umuonwusirikam,8
anambra_ihiala_okija_ubahua_bu_ubahu_ubahu_etiti_ubahu_umuapani_dara_duruasom_anazodo,Anazodo,anambra_ihiala_okija_ubahua_bu_ubahu_ubahu_etiti_ubahu_umuapani_dara_duruasom,1
anambra_ihiala_okija_ubahua_bu_ubahu_ubahu_etiti_ubahu_umuapani_ngegwu_duruasom_anazodo,Anazodo,anambra_ihiala_okija_ubahua_bu_ubahu_ubahu_etiti_ubahu_umuapani_ngegwu_duruasom,1
