id,name,clanId,officialOrder
anambra_ihiala_ihiala_ezi_amamu_dioha_elekechem,Elekechem,anambra_ihiala_ihiala_ezi_amamu_dioha,1
anambra_ihiala_ihiala_ezi_amamu_dioha_umunnebogbu,Umunnebogbu,anambra_ihiala_ihiala_ezi_amamu_dioha,2
anambra_ihiala_ihiala_ezi_amamu_dioha_umunmelike,Umunmelike,anambra_ihiala_ihiala_ezi_amamu_dioha,3
anambra_ihiala_ihiala_ezi_amamu_dioha_umuadobihi,Umuadobihi,anambra_ihiala_ihiala_ezi_amamu_dioha,4
anambra_ihiala_ihiala_ezi_amamu_dioha_umuilobueghu,Umuilobueghu,anambra_ihiala_ihiala_ezi_amamu_dioha,5
anambra_ihiala_ihiala_ezi_amamu_dioha_umuabalike,Umuabalike,anambra_ihiala_ihiala_ezi_amamu_dioha,6
anambra_ihiala_ihiala_ezi_amamu_dioha_umuezeogu,Umuezeogu,anambra_ihiala_ihiala_ezi_amamu_dioha,7
anambra_ihiala_ihiala_ezi_amamu_dioha_umunmeri,Umunmeri,anambra_ihiala_ihiala_ezi_amamu_dioha,8
anambra_ihiala_okija_ubahua_bu_ubahu_ubahu_etiti_ubahu_umuapani,Umuapani,anambra_ihiala_okija_ubahua_bu_ubahu_ubahu_etiti_ubahu,1
anambra_ihiala_okija_ubahua_bu_ubahu_ubahu_etiti_ubahu_umuawa,Umuawa,anambra_ihiala_okija_ubahua_bu_ubahu_ubahu_etiti_ubahu,2
anambra_ihiala_okija_ubahua_bu_ubahu_ubahu_etiti_ubahu_umudaraegwu,Umudaraegwu,anambra_ihiala_okija_ubahua_bu_ubahu_ubahu_etiti_ubahu,3
anambra_ihiala_okija_ubahua_bu_ubahu_ubahu_ubahu_uduru_umuezedam,Umuezedam,anambra_ihiala_okija_ubahua_bu_ubahu_ubahu_ubahu_uduru,1
anambra_ihiala_okija_ubahua_bu_ubahu_ubahu_ubahu_uduru_umuakporom,Umuakporom,anambra_ihiala_okija_ubahua_bu_ubahu_ubahu_ubahu_uduru,2
anambra_ihiala_okija_ubahua_bu_ubahu_ubahu_ubahu_uduru_ugwuchereku,Ugwuchereku,anambra_ihiala_okija_ubahua_bu_ubahu_ubahu_ubahu_uduru,3
anambra_ihiala_okija_ubahua_bu_ubahu_umuohi_ezieke_anaubosi,Anaubosi,anambra_ihiala_okija_ubahua_bu_ubahu_umuohi_ezieke,1
anambra_ihiala_okija_ubahua_bu_ubahu_umuohi_ezieke_anunwa,Anunwa,anambra_ihiala_okija_ubahua_bu_ubahu_umuohi_ezieke,2
anambra_ihiala_okija_ubahua_bu_ubahu_umuohi_ezieke_ihuoma_anukaubi,Ihuoma Anukaubi,anambra_ihiala_okija_ubahua_bu_ubahu_umuohi_ezieke,3
anambra_ihiala_okija_ubahua_bu_ubahu_umuohi_ezieke_umuabiam,Umuabiam,anambra_ihiala_okija_ubahua_bu_ubahu_umuohi_ezieke,4
anambra_ihiala_okija_ubahua_bu_ubahu_umuohi_isifulu_umu_onemba,Umu Onemba,anambra_ihiala_okija_ubahua_bu_ubahu_umuohi_isifulu,1
anambra_ihiala_okija_ubahua_bu_ubahu_umuohi_isifulu_umundumanya,Umundumanya,anambra_ihiala_okija_ubahua_bu_ubahu_umuohi_isifulu,2
anambra_ihiala_okija_ubahua_bu_ubahu_umuohi_isifulu_umuezulu,Umuezulu,anambra_ihiala_okija_ubahua_bu_ubahu_umuohi_isifulu,3
anambra_ihiala_okija_ubahua_bu_ubahu_umuohi_isifulu_umu_orji,Umu Orji,anambra_ihiala_okija_ubahua_bu_ubahu_umuohi_isifulu,4
anambra_ihiala_okija_ubahua_bu_ubahu_umuohi_isifulu_umuagusionu,Umuagusionu,anambra_ihiala_okija_ubahua_bu_ubahu_umuohi_isifulu,5
anambra_ihiala_okija_ubahua_bu_ubahu_umuohi_isifulu_okpaladike,Okpaladike,anambra_ihiala_okija_ubahua_bu_ubahu_umuohi_isifulu,6
anambra_ihiala_okija_ubahua_bu_ubahu_umuohi_isifulu_umunwangwu,Umunwangwu,anambra_ihiala_okija_ubahua_bu_ubahu_umuohi_isifulu,7
anambra_ihiala_okija_ubahua_bu_ubahu_umuohi_isifulu_umu_egbu_eli,Umu Egbu Eli,anambra_ihiala_okija_ubahua_bu_ubahu_umuohi_isifulu,8
anambra_ihiala_okija_ubahua_bu_ubahu_umuohi_umudioka_umueze_anamiuji,Umueze Anamiuji,anambra_ihiala_okija_ubahua_bu_ubahu_umuohi_umudioka,1
anambra_ihiala_okija_ubahua_bu_ubahu_umuohi_umudioka_umu_okorafor,Umu Okorafor,anambra_ihiala_okija_ubahua_bu_ubahu_umuohi_umudioka,2
anambra_ihiala_okija_ubahua_bu_ubahu_umuohi_umudioka_umu_ezeisi,Umu Ezeisi,anambra_ihiala_okija_ubahua_bu_ubahu_umuohi_umudioka,3
anambra_ihiala_okija_ubahua_bu_ubahu_umuohi_umudioka_umudara_okereke,Umudara Okereke,anambra_ihiala_okija_ubahua_bu_ubahu_umuohi_umudioka,4
anambra_ihiala_okija_ubahua_bu_ubahu_umuohi_umudioka_umu_aga_agwo,Umu Aga Agwo,anambra_ihiala_okija_ubahua_bu_ubahu_umuohi_umudioka,5
anambra_ihiala_okija_ubahua_bu_ubahu_umuohi_umudioka_umu_ozo_igbo,Umu Ozo Igbo,anambra_ihiala_okija_ubahua_bu_ubahu_umuohi_umudioka,6
anambra_ihiala_okija_ubahua_bu_ubahu_umuohi_umudioka_umu_ejiofor,Umu Ejiofor,anambra_ihiala_okija_ubahua_bu_ubahu_umuohi_umudioka,7
anambra_ihiala_okija_ubahua_bu_ubahu_umuohi_umudioka_umu_obianigwe,Umu Obianigwe,anambra_ihiala_okija_ubahua_bu_ubahu_umuohi_umudioka,8
anambra_ihiala_okija_ubahua_bu_ubahu_umuohi_umudioka_umu_anosike,Umu Anosike,anambra_ihiala_okija_ubahua_bu_ubahu_umuohi_umudioka,9
anambra_ihiala_okija_ubahua_bu_ubahu_umuohi_umudioka_umu_ogbuehi,Umu Ogbuehi,anambra_ihiala_okija_ubahua_bu_ubahu_umuohi_umudioka,10
anambra_ihiala_okija_ubahua_bu_ubahu_umuohi_umudioka_umu_annowai,Umu Annowai,anambra_ihiala_okija_ubahua_bu_ubahu_umuohi_umudioka,11
anambra_ihiala_okija_ubahua_bu_ubahu_ezinaukpodu_umuhu_ubahuoti,Ubahuoti,anambra_ihiala_okija_ubahua_bu_ubahu_ezinaukpodu_umuhu,1
anambra_ihiala_okija_ubahua_bu_ubahu_ezinaukpodu_umuhu_umuezelobe,Umuezelobe,anambra_ihiala_okija_ubahua_bu_ubahu_ezinaukpodu_umuhu,2
anambra_ihiala_okija_ubahua_bu_ubahu_ezinaukpodu_umuhu_umuagbajeyi,Umuagbajeyi,anambra_ihiala_okija_ubahua_bu_ubahu_ezinaukpodu_umuhu,3
anambra_ihiala_okija_ubahua_bu_ubahu_ezinaukpodu_umuhu_umuezeana,Umuezeana,anambra_ihiala_okija_ubahua_bu_ubahu_ezinaukpodu_umuhu,4
