ward_id,ward_name,lga_id,state_id
WD_AB_ABA_NORTH_01,Ariaria, LGA_AB_ABA_NORTH,ST_AB
WD_AB_ABA_NORTH_02,Eziama, LGA_AB_ABA_NORTH,ST_AB
WD_AB_ABA_NORTH_03,Industrial Area, LGA_AB_ABA_NORTH,ST_AB
WD_AB_ABA_NORTH_04,Ogbor Hill, LGA_AB_ABA_NORTH,ST_AB
WD_AB_ABA_NORTH_05,Osusu, LGA_AB_ABA_NORTH,ST_AB
WD_AB_ABA_NORTH_06,Umuola, LGA_AB_ABA_NORTH,ST_AB
WD_AB_ABA_NORTH_07,Uratta, LGA_AB_ABA_NORTH,ST_AB
WD_AB_ABA_NORTH_08,World Bank, LGA_AB_ABA_NORTH,ST_AB
WD_AB_ABA_NORTH_09,Ndiegoro, LGA_AB_ABA_NORTH,ST_AB
WD_AB_ABA_NORTH_10,Amukabi, LGA_AB_ABA_NORTH,ST_AB
,,,
WD_AB_ABA_SOUTH_01,Aba River, LGA_AB_ABA_SOUTH,ST_AB
WD_AB_ABA_SOUTH_02,Asa, LGA_AB_ABA_SOUTH,ST_AB
WD_AB_ABA_SOUTH_03,Eziukwu, LGA_AB_ABA_SOUTH,ST_AB
WD_AB_ABA_SOUTH_04,Gloucester, LGA_AB_ABA_SOUTH,ST_AB
WD_AB_ABA_SOUTH_05,Ngwa Road, LGA_AB_ABA_SOUTH,ST_AB
WD_AB_ABA_SOUTH_06,Ogbor Hill, LGA_AB_ABA_SOUTH,ST_AB
WD_AB_ABA_SOUTH_07,Omenuko, LGA_AB_ABA_SOUTH,ST_AB
WD_AB_ABA_SOUTH_08,Osusu II, LGA_AB_ABA_SOUTH,ST_AB
WD_AB_ABA_SOUTH_09,Port Harcourt Road, LGA_AB_ABA_SOUTH,ST_AB
WD_AB_ABA_SOUTH_10,Umuagbai, LGA_AB_ABA_SOUTH,ST_AB
WD_AB_ABA_SOUTH_11,Umuocham, LGA_AB_ABA_SOUTH,ST_AB
WD_AB_ABA_SOUTH_12,Uratta South, LGA_AB_ABA_SOUTH,ST_AB
,,,
WD_AB_AROCHUKWU_01,Arochukwu I, LGA_AB_AROCHUKWU,ST_AB
WD_AB_AROCHUKWU_02,Arochukwu II, LGA_AB_AROCHUKWU,ST_AB
WD_AB_AROCHUKWU_03,Arochukwu III, LGA_AB_AROCHUKWU,ST_AB
WD_AB_AROCHUKWU_04,Arochukwu IV, LGA_AB_AROCHUKWU,ST_AB
WD_AB_AROCHUKWU_05,Arochukwu V, LGA_AB_AROCHUKWU,ST_AB
WD_AB_AROCHUKWU_06,Arochukwu VI, LGA_AB_AROCHUKWU,ST_AB
WD_AB_AROCHUKWU_07,Arochukwu VII, LGA_AB_AROCHUKWU,ST_AB
WD_AB_AROCHUKWU_08,Arochukwu VIII, LGA_AB_AROCHUKWU,ST_AB
WD_AB_AROCHUKWU_09,Arochukwu IX, LGA_AB_AROCHUKWU,ST_AB
