id,name,townAdminLevel2Id,officialOrder
anambra_ihiala_ihiala_ezi_amamu_dioha,Dioha,anambra_ihiala_ihiala_ezi,1
anambra_ihiala_ihiala_ezi_amamu_umudimogo,Umudimogo,anambra_ihiala_ihiala_ezi,2
anambra_ihiala_ihiala_ezi_amamu_umunnamehi,Umunnamehi,anambra_ihiala_ihiala_ezi,3
anambra_ihiala_ihiala_ezi_amamu_umueze,Umueze,anambra_ihiala_ihiala_ezi,4
anambra_ihiala_ihiala_ezi_amamu_afam,Afam,anambra_ihiala_ihiala_ezi,5
anambra_ihiala_ihiala_ezi_amamu_umuejimoke,Umuejimoke,anambra_ihiala_ihiala_ezi,6
anambra_ihiala_ihiala_ezi_amamu_umuduru,Umuduru,anambra_ihiala_ihiala_ezi,7
anambra_ihiala_ihiala_ezi_amamu_ihudim,Ihudim,anambra_ihiala_ihiala_ezi,8
anambra_ihiala_okija_ubahua_bu_ubahu_ubahu_etiti_ubahu,Etiti - Ubahu,anambra_ihiala_okija_ubahua_bu_ubahu,1
anambra_ihiala_okija_ubahua_bu_ubahu_ubahu_ubahu_uduru,Ubahu - Uduru,anambra_ihiala_okija_ubahua_bu_ubahu,2
anambra_ihiala_okija_ubahua_bu_ubahu_umuohi_ezieke,Ezieke,anambra_ihiala_okija_ubahua_bu_ubahu,3
anambra_ihiala_okija_ubahua_bu_ubahu_umuohi_isifulu,Isifulu,anambra_ihiala_okija_ubahua_bu_ubahu,4
anambra_ihiala_okija_ubahua_bu_ubahu_umuohi_umudioka,Umudioka,anambra_ihiala_okija_ubahua_bu_ubahu,5
anambra_ihiala_okija_ubahua_bu_ubahu_ezinaukpodu_umuhu,Umuhu,anambra_ihiala_okija_ubahua_bu_ubahu,6
anambra_ihiala_okija_ubahua_bu_ubahu_ezinaukpodu_ubahu_ezike,Ubahu - Ezike,anambra_ihiala_okija_ubahua_bu_ubahu,7
anambra_ihiala_okija_ihitea_bu_ihite_ubahu_eze_ubahu_eze,Ubahu - Eze,anambra_ihiala_okija_ihitea_bu_ihite,1
anambra_ihiala_okija_ihitea_bu_ihite_ubahumonum_ubahumonum,Ubahumonum,anambra_ihiala_okija_ihitea_bu_ihite,2
anambra_ihiala_okija_ihitea_bu_ihite_isieke_ubahu_udara_isieke,Isieke,anambra_ihiala_okija_ihitea_bu_ihite,3
anambra_ihiala_okija_ihitea_bu_ihite_isieke_ubahu_udara_ubahu_udara,Ubahu - Udara,anambra_ihiala_okija_ihitea_bu_ihite,4
anambra_ihiala_okija_uhu0b0_na_uhuowelle_uhuowelle_oghalaegbu,Oghalaegbu,anambra_ihiala_okija_uhu0b0_na_uhuowelle,1
anambra_ihiala_okija_uhu0b0_na_uhuowelle_uhuowelle_umuogu,Umuogu,anambra_ihiala_okija_uhu0b0_na_uhuowelle,2
anambra_ihiala_okija_uhu0b0_na_uhuowelle_uhuowelle_umuzu,Umuzu,anambra_ihiala_okija_uhu0b0_na_uhuowelle,3
anambra_ihiala_okija_uhu0b0_na_uhuowelle_umuatuegwu_uhudim_ohukabia_umuatuegwu,Umuatuegwu,anambra_ihiala_okija_uhu0b0_na_uhuowelle,4
anambra_ihiala_okija_uhu0b0_na_uhuowelle_umuatuegwu_uhudim_ohukabia_uhudim,Uhudim,anambra_ihiala_okija_uhu0b0_na_uhuowelle,5
anambra_ihiala_okija_uhu0b0_na_uhuowelle_umuatuegwu_uhudim_ohukabia_0hukabia,0Hukabia,anambra_ihiala_okija_uhu0b0_na_uhuowelle,6
anambra_ihiala_okija_uhu0b0_na_uhuowelle_ofor_na_ngwu_umuofor_akoba,Umuofor Akoba,anambra_ihiala_okija_uhu0b0_na_uhuowelle,7
anambra_ihiala_okija_uhu0b0_na_uhuowelle_ofor_na_ngwu_uhungwu,Uhungwu,anambra_ihiala_okija_uhu0b0_na_uhuowelle,8
anambra_ihiala_okija_uhu0b0_na_uhuowelle_ofor_na_ngwu_ezewulum,Ezewulum,anambra_ihiala_okija_uhu0b0_na_uhuowelle,9
anambra_ekwusigo_oraifite_unodu_isingwu_umuenwe,Umuenwe,anambra_ekwusigo_oraifite_unodu,1
anambra_ekwusigo_oraifite_unodu_isingwu_umuodum,Umuodum,anambra_ekwusigo_oraifite_unodu,2
