id,name,lgaId,officialOrder
abia_aba_north_eziama,Eziama,abia_aba_north,1
abia_aba_north_industrial_area,Industrial Area,abia_aba_north,2
abia_aba_north_osusu_i,Osusu I,abia_aba_north,3
abia_aba_north_osusu_ii,Osusu II,abia_aba_north,4
abia_aba_north_st_eugenes_by_okigwe_rd,St. Eugenes By Okigwe Rd.,abia_aba_north,5
abia_aba_north_uratta,Uratta,abia_aba_north,6
abia_aba_north_old_aba_gra,Old Aba Gra,abia_aba_north,7
abia_aba_north_umuola,Umuola,abia_aba_north,8
abia_aba_north_ariaria_market,Ariaria Market,abia_aba_north,9
abia_aba_north_ogbor_i,Ogbor I,abia_aba_north,10
abia_aba_north_ogbor_ii,Ogbor II,abia_aba_north,11
abia_aba_north_umuogor,Umuogor,abia_aba_north,12
,,,
abia_aba_south_eziukwu,Eziukwu,abia_aba_south,1
abia_aba_south_asa,Asa,abia_aba_south,2
abia_aba_south_enyimba,Enyimba,abia_aba_south,3
abia_aba_south_ngwa,Ngwa,abia_aba_south,4
abia_aba_south_ohazu_i,Ohazu I,abia_aba_south,5
abia_aba_south_ohazu_ii,Ohazu II,abia_aba_south,6
abia_aba_south_igwebuike,Igwebuike,abia_aba_south,7
abia_aba_south_ekeoha,Ekeoha,abia_aba_south,8
abia_aba_south_gloucester,Gloucester,abia_aba_south,9
abia_aba_south_mosque,Mosque,abia_aba_south,10
abia_aba_south_aba_river,Aba River,abia_aba_south,11
abia_aba_south_aba_town_hall,Aba Town Hall,abia_aba_south,12
,,,
abia_arochukwu_ovukwu,Ovukwu,abia_arochukwu,1
abia_arochukwu_ohaeke,Ohaeke,abia_arochukwu,2
abia_arochukwu_ohafor_i,Ohafor I,abia_arochukwu,3
abia_arochukwu_ohafor_ii,Ohafor II,abia_arochukwu,4
abia_arochukwu_arochukwu_i,Arochukwu I,abia_arochukwu,5
abia_arochukwu_arochukwu_ii,Arochukwu II,abia_arochukwu,6
abia_arochukwu_ikwun_ihechiowa,Ikwun Ihechiowa,abia_arochukwu,7
abia_arochukwu_eleoha_ihechiowa,Eleoha Ihechiowa,abia_arochukwu,8
abia_arochukwu_ututu,Ututu,abia_arochukwu,9
abia_arochukwu_isu,Isu,abia_arochukwu,10
abia_arochukwu_arochukwu_iii,Arochukwu III,abia_arochukwu,11
,,,
abia_bende_amankalu_akoliufu,Amankalu/Akoliufu,abia_bende,1
abia_bende_bende,Bende,abia_bende,2
abia_bende_ugwueke_ezeukwu,Ugwueke/Ezeukwu,abia_bende,3
abia_bende_igbere_a,Igbere A,abia_bende,4
abia_bende_igbere_b,Igbere B,abia_bende,5
abia_bende_item_a,Item A,abia_bende,6
abia_bende_item_b,Item B,abia_bende,7
abia_bende_item_c,Item C,abia_bende,8
abia_bende_ozuitem,Ozuitem,abia_bende,9
abia_bende_umuhu_ezechi,Umuhu/Ezechi,abia_bende,10
abia_bende_umu_imeny,iUmu-Imenyi,abia_bende,11
abia_bende_uzuakoli,Uzuakoli,abia_bende,12
,,,
abia_ikwuano_oloko_i,Oloko I,abia_ikwuano,1
abia_ikwuano_oloko_ii,Oloko II,abia_ikwuano,2
abia_ikwuano_ibere_i,Ibere I,abia_ikwuano,3
abia_ikwuano_ibere_ii,Ibere II,abia_ikwuano,4
