state_id,lga_id,town_id,town_name
delta,delta_aniocha_north,town_delta_aniocha_north_issele_uku,Issele-Uku
delta,delta_aniocha_north,town_delta_aniocha_north_issele_azagba,Issele-Azagba
delta,delta_aniocha_north,town_delta_aniocha_north_onicha_ugbo,Onicha-Ugbo
delta,delta_aniocha_north,town_delta_aniocha_north_obior,Obior
delta,delta_aniocha_north,town_delta_aniocha_north_ezi,Ezi
delta,delta_aniocha_north,town_delta_aniocha_north_idumuje_ugboko,Idumuje-Ugboko
delta,delta_aniocha_south,town_delta_aniocha_south_ogwashi_uku,Ogwashi-Uku
delta,delta_aniocha_south,town_delta_aniocha_south_ubulu_uku,Ubulu-Uku
delta,delta_aniocha_south,town_delta_aniocha_south_ubulu_unor,Ubulu-Unor
delta,delta_aniocha_south,town_delta_aniocha_south_nsukwa,Nsukwa
delta,delta_aniocha_south,town_delta_aniocha_south_ejeme_aniogor,Ejeme-Aniogor
delta,delta_aniocha_south,town_delta_aniocha_south_ashama,Ashama
delta,delta_bomadi,town_delta_bomadi_bomadi,Bomadi
delta,delta_bomadi,town_delta_bomadi_akugbene,Akugbene
delta,delta_bomadi,town_delta_bomadi_ogriagbene,Ogriagbene
delta,delta_bomadi,town_delta_bomadi_kpakiama,Kpakiama
delta,delta_bomadi,town_delta_bomadi_esanma,Esanma
delta,delta_bomadi,town_delta_bomadi_ogbein_ama,Ogbein-Ama
delta,delta_burutu,town_delta_burutu_burutu,Burutu
delta,delta_burutu,town_delta_burutu_forcados,Forcados
delta,delta_burutu,town_delta_burutu_ogulagha,Ogulagha
delta,delta_burutu,town_delta_burutu_obotebe,Obotebe
delta,delta_burutu,town_delta_burutu_ngbilebiri,Ngbilebiri
delta,delta_burutu,town_delta_burutu_odimodi,Odimodi
delta,delta_ethiope_east,town_delta_ethiope_east_abraka,Abraka
delta,delta_ethiope_east,town_delta_ethiope_east_isiokolo,Isiokolo
delta,delta_ethiope_east,town_delta_ethiope_east_kokori,Kokori
delta,delta_ethiope_east,town_delta_ethiope_east_eku,Eku
delta,delta_ethiope_east,town_delta_ethiope_east_okpara_inland,Okpara Inland
delta,delta_ethiope_east,town_delta_ethiope_east_ovu,Ovu
delta,delta_ethiope_west,town_delta_ethiope_west_oghara,Oghara
delta,delta_ethiope_west,town_delta_ethiope_west_jesse,Jesse
delta,delta_ethiope_west,town_delta_ethiope_west_mosogar,Mosogar
delta,delta_ethiope_west,town_delta_ethiope_west_ogharefe,Ogharefe
delta,delta_ethiope_west,town_delta_ethiope_west_oghareki,Oghareki
delta,delta_ethiope_west,town_delta_ethiope_west_ajagbodudu,Ajagbodudu
delta,delta_ika_north_east,town_delta_ika_north_east_owa_oyibu,Owa-Oyibu
delta,delta_ika_north_east,town_delta_ika_north_east_owa_alero,Owa-Alero
delta,delta_ika_north_east,town_delta_ika_north_east_ute_okpu,Ute-Okpu
delta,delta_ika_north_east,town_delta_ika_north_east_umunede,Umunede
delta,delta_ika_north_east,town_delta_ika_north_east_akumazi,Akumazi
delta,delta_ika_north_east,town_delta_ika_north_east_mbiri,Mbiri
delta,delta_ika_south,town_delta_ika_south_agbor,Agbor
delta,delta_ika_south,town_delta_ika_south_boji_boji_agbor,Boji-Boji Agbor
delta,delta_ika_south,town_delta_ika_south_abavo,Abavo
delta,delta_ika_south,town_delta_ika_south_owa_ekei,Owa-Ekei
delta,delta_ika_south,town_delta_ika_south_alisimie,Alisimie
delta,delta_ika_south,town_delta_ika_south_ekuku_agbor,Ekuku-Agbor
delta,delta_isoko_north,town_delta_isoko_north_ozoro,Ozoro
delta,delta_isoko_north,town_delta_isoko_north_ovrode,Ovrode
delta,delta_isoko_north,town_delta_isoko_north_ofagbe,Ofagbe
delta,delta_isoko_north,town_delta_isoko_north_ellu,Ellu
delta,delta_isoko_north,town_delta_isoko_north_iyede,Iyede
delta,delta_isoko_north,town_delta_isoko_north_emevor,Emevor
delta,delta_isoko_south,town_delta_isoko_south_oleh,Oleh
delta,delta_isoko_south,town_delta_isoko_south_irri,Irri
delta,delta_isoko_south,town_delta_isoko_south_aviara,Aviara
delta,delta_isoko_south,town_delta_isoko_south_uzere,Uzere
