id,name,lgaId,officialOrder
abia_aba_north_eziama_urata,Eziama-Urata,abia_aba_north,1
abia_aba_north_ogbor,Ogbor,abia_aba_north,2
abia_aba_north_umuola_egbelu,Umuola-Egbelu,abia_aba_north,3
abia_aba_north_uratta,Uratta,abia_aba_north,4
abia_aba_north_osusu,Osusu,abia_aba_north,5
abia_aba_north_umuokoji,Umuokoji,abia_aba_north,6
abia_aba_north_umuola_okpulor,Umuola-Okpulor,abia_aba_north,7
abia_aba_south_akoli,Akoli,abia_aba_south,1
abia_aba_south_amanfuru,Amanfuru,abia_aba_south,2
abia_aba_south_asaeme,Asaeme,abia_aba_south,3
abia_aba_south_ihieorji,Ihieorji,abia_aba_south,4
abia_aba_south_ndiegoro,Ndiegoro,abia_aba_south,5
abia_aba_south_nnetu,Nnetu,abia_aba_south,6
abia_aba_south_ohabiam,Ohabiam,abia_aba_south,7
abia_aba_south_umuagbai,Umuagbai,abia_aba_south,8
abia_aba_south_umumba,Umumba,abia_aba_south,9
abia_aba_south_umuosi,Umuosi,abia_aba_south,10
abia_aba_south_abaukwu,Abaukwu,abia_aba_south,11
abia_aba_south_ariaria,Ariaria,abia_aba_south,12
abia_aba_south_asaokpuja,Asaokpuja,abia_aba_south,13
abia_aba_south_eziukwu,Eziukwu,abia_aba_south,14
abia_arochukwu_umuahia,Umuahia,abia_arochukwu,1
abia_arochukwu_umukabia,Umukabia,abia_arochukwu,2
abia_arochukwu_umuawa_alaocha,Umuawa Alaocha,abia_arochukwu,3
abia_arochukwu_umuagu,Umuagu,abia_arochukwu,4
abia_arochukwu_umuekwule,Umuekwule,abia_arochukwu,5
abia_arochukwu_ihite_ude,Ihite Ude,abia_arochukwu,6
abia_arochukwu_umuda_isingwa,Umuda-Isingwa,abia_arochukwu,7
abia_arochukwu_ohoku,Ohoku,abia_arochukwu,8
abia_bende_alayi,Alayi,abia_bende,1
abia_bende_bende,Bende,abia_bende,2
abia_bende_ezukwu,Ezukwu,abia_bende,3
abia_bende_igbere,Igbere,abia_bende,4
abia_bende_item,Item,abia_bende,5
abia_bende_itumbuzo,Itumbuzo,abia_bende,6
abia_bende_nkpa,Nkpa,abia_bende,7
abia_bende_ntalakwu,Ntalakwu,abia_bende,8
abia_bende_ozuitem,Ozuitem,abia_bende,9
abia_bende_ugwueke,Ugwueke,abia_bende,10
abia_bende_umu_imenyi,Umu-Imenyi,abia_bende,11
abia_bende_umuhu_ezechi,Umuhu-Ezechi,abia_bende,12
abia_bende_uzuakoli,Uzuakoli,abia_bende,13
abia_ikwuano_oboro,Oboro,abia_ikwuano,1
abia_ikwuano_ibere,Ibere,abia_ikwuano,2
abia_ikwuano_ariam_usaka,Ariam/Usaka,abia_ikwuano,3
abia_ikwuano_oloko,Oloko,abia_ikwuano,4
abia_isialangwa_north_ama_asa,Ama-Asa,abia_isialangwa_north,1
abia_isialangwa_north_amasa_ntigha,Amasa-Ntigha,abia_isialangwa_north,2
abia_isialangwa_north_amapu_ntigha,Amapu-Ntigha,abia_isialangwa_north,3
abia_isialangwa_north_ihie,Ihie,abia_isialangwa_north,4
abia_isialangwa_north_ngwa_ukwu,Ngwa Ukwu,abia_isialangwa_north,5
abia_isialangwa_north_nsulu,Nsulu,abia_isialangwa_north,6
abia_isialangwa_north_okpuala_ngwa,Okpuala-Ngwa,abia_isialangwa_north,7
abia_isialangwa_north_umuoha,Umuoha,abia_isialangwa_north,8
abia_isialangwa_north_mbubo,Mbubo,abia_isialangwa_north,9
abia_isialangwa_north_umuogele,Umuogele,abia_isialangwa_north,10
abia_isialangwa_south_ngwa_obi,Ngwa Obi,abia_isialangwa_south,1
abia_isialangwa_south_amaku,Amaku,abia_isialangwa_south,2
abia_isialangwa_south_mbutu,Mbutu,abia_isialangwa_south,3
abia_isialangwa_south_omoba,Omoba,abia_isialangwa_south,4
abia_isialangwa_south_okpuala,Okpuala,abia_isialangwa_south,5
abia_isialangwa_south_ovu_ngwu,Ovu Ngwu,abia_isialangwa_south,6
abia_isialangwa_south_ovu_okwu,Ovu Okwu,abia_isialangwa_south,7
abia_isialangwa_south_owerri_nta,Owerri Nta,abia_isialangwa_south,8
abia_isialangwa_south_isiala_nvosi,Isiala Nvosi,abia_isialangwa_south,9
