id,name,villageId,officialOrder
anambra_ihiala_ihiala_ezi_amamu_dioha_umunnebogbu_umuokparaughanze,Umuokparaughanze,anambra_ihiala_ihiala_ezi_amamu_dioha_umunnebogbu,1
anambra_ihiala_ihiala_ezi_amamu_dioha_umunnebogbu_umugogbuo,Umugogbuo,anambra_ihiala_ihiala_ezi_amamu_dioha_umunnebogbu,2
anambra_ihiala_ihiala_ezi_amamu_dioha_umunnebogbu_umuahibaekwe,Umuahibaekwe,anambra_ihiala_ihiala_ezi_amamu_dioha_umunnebogbu,3
anambra_ihiala_ihiala_ezi_amamu_dioha_umunnebogbu_umuawala,Umuawala,anambra_ihiala_ihiala_ezi_amamu_dioha_umunnebogbu,4
anambra_ihiala_ihiala_ezi_amamu_dioha_umuadobihi_umunkwo,Umunkwo,anambra_ihiala_ihiala_ezi_amamu_dioha_umuadobihi,1
anambra_ihiala_ihiala_ezi_amamu_dioha_umuadobihi_umuogwazu,Umuogwazu,anambra_ihiala_ihiala_ezi_amamu_dioha_umuadobihi,2
anambra_ihiala_ihiala_ezi_amamu_dioha_umuadobihi_umuihem,Umuihem,anambra_ihiala_ihiala_ezi_amamu_dioha_umuadobihi,3
anambra_ihiala_ihiala_ezi_amamu_dioha_umuadobihi_izuegbu_obiejesi,Izuegbu/Obiejesi,anambra_ihiala_ihiala_ezi_amamu_dioha_umuadobihi,4
anambra_ihiala_ihiala_ezi_amamu_dioha_umuadobihi_anyajibo_nzoghi,Anyajibo/Nzoghi,anambra_ihiala_ihiala_ezi_amamu_dioha_umuadobihi,5
anambra_ihiala_ihiala_ezi_amamu_dioha_umuadobihi_nzeteobi_eziteghi,Nzeteobi/Eziteghi,anambra_ihiala_ihiala_ezi_amamu_dioha_umuadobihi,6
anambra_ihiala_ihiala_ezi_amamu_dioha_umuadobihi_umuanumba,Umuanumba,anambra_ihiala_ihiala_ezi_amamu_dioha_umuadobihi,7
anambra_ihiala_ihiala_ezi_amamu_dioha_umuadobihi_umuohaerighi,Umuohaerighi,anambra_ihiala_ihiala_ezi_amamu_dioha_umuadobihi,8
anambra_ihiala_ihiala_ezi_amamu_dioha_umuadobihi_ekwurugwo_ejiaga,Ekwurugwo/Ejiaga,anambra_ihiala_ihiala_ezi_amamu_dioha_umuadobihi,9
anambra_ihiala_ihiala_ezi_amamu_dioha_umuadobihi_okwuegbunem,Okwuegbunem,anambra_ihiala_ihiala_ezi_amamu_dioha_umuadobihi,10
anambra_ihiala_ihiala_ezi_amamu_dioha_umuadobihi_umuosuagwu,Umuosuagwu,anambra_ihiala_ihiala_ezi_amamu_dioha_umuadobihi,11
anambra_ihiala_okija_ubahua_bu_ubahu_ubahu_etiti_ubahu_umuapani_dara,Dara,anambra_ihiala_okija_ubahua_bu_ubahu_ubahu_etiti_ubahu_umuapani,1
anambra_ihiala_okija_ubahua_bu_ubahu_ubahu_etiti_ubahu_umuapani_ngegwu,Ngegwu,anambra_ihiala_okija_ubahua_bu_ubahu_ubahu_etiti_ubahu_umuapani,2
anambra_ihiala_okija_ubahua_bu_ubahu_ubahu_etiti_ubahu_umuapani_nhie,Nhie,anambra_ihiala_okija_ubahua_bu_ubahu_ubahu_etiti_ubahu_umuapani,3
anambra_ihiala_okija_ubahua_bu_ubahu_ubahu_etiti_ubahu_umuapani_nebo,Nebo,anambra_ihiala_okija_ubahua_bu_ubahu_ubahu_etiti_ubahu_umuapani,4
anambra_ihiala_okija_ubahua_bu_ubahu_ubahu_etiti_ubahu_umuapani_chugha,Chugha,anambra_ihiala_okija_ubahua_bu_ubahu_ubahu_etiti_ubahu_umuapani,5
anambra_ihiala_okija_ubahua_bu_ubahu_ubahu_etiti_ubahu_umuapani_omukwe,Omukwe,anambra_ihiala_okija_ubahua_bu_ubahu_ubahu_etiti_ubahu_umuapani,6
anambra_ihiala_okija_ubahua_bu_ubahu_ubahu_etiti_ubahu_umuawa_umuawa,Umuawa,anambra_ihiala_okija_ubahua_bu_ubahu_ubahu_etiti_ubahu_umuawa,1
anambra_ihiala_okija_ubahua_bu_ubahu_ubahu_etiti_ubahu_umudaraegwu_umuorji,Umuorji,anambra_ihiala_okija_ubahua_bu_ubahu_ubahu_etiti_ubahu_umudaraegwu,1
anambra_ihiala_okija_ubahua_bu_ubahu_ubahu_etiti_ubahu_umudaraegwu_umu_ihemegbunam,Umu Ihemegbunam,anambra_ihiala_okija_ubahua_bu_ubahu_ubahu_etiti_ubahu_umudaraegwu,2
anambra_ihiala_okija_ubahua_bu_ubahu_ubahu_ubahu_uduru_umuezedam_megwara,Megwara,anambra_ihiala_okija_ubahua_bu_ubahu_ubahu_ubahu_uduru_umuezedam,1
anambra_ihiala_okija_ubahua_bu_ubahu_ubahu_ubahu_uduru_umuezedam_ehiobuna,Ehiobuna,anambra_ihiala_okija_ubahua_bu_ubahu_ubahu_ubahu_uduru_umuezedam,2
anambra_ihiala_okija_ubahua_bu_ubahu_ubahu_ubahu_uduru_umuezedam_ezedike,Ezedike,anambra_ihiala_okija_ubahua_bu_ubahu_ubahu_ubahu_uduru_umuezedam,3
anambra_ihiala_okija_ubahua_bu_ubahu_ubahu_ubahu_uduru_umuezedam_ezediana,Ezediana,anambra_ihiala_okija_ubahua_bu_ubahu_ubahu_ubahu_uduru_umuezedam,4
anambra_ihiala_okija_ubahua_bu_ubahu_ubahu_ubahu_uduru_umuezedam_ndionyebarachi,Ndionyebarachi,anambra_ihiala_okija_ubahua_bu_ubahu_ubahu_ubahu_uduru_umuezedam,5
anambra_ihiala_okija_ubahua_bu_ubahu_ubahu_ubahu_uduru_umuezedam_izunabo,Izunabo,anambra_ihiala_okija_ubahua_bu_ubahu_ubahu_ubahu_uduru_umuezedam,6
anambra_ihiala_okija_ubahua_bu_ubahu_ubahu_ubahu_uduru_umuezedam_ndiezike,Ndiezike,anambra_ihiala_okija_ubahua_bu_ubahu_ubahu_ubahu_uduru_umuezedam,7
anambra_ihiala_okija_ubahua_bu_ubahu_ubahu_ubahu_uduru_umuakporom_umu_nabara,Umu - Nabara,anambra_ihiala_okija_ubahua_bu_ubahu_ubahu_ubahu_uduru_umuakporom,1
anambra_ihiala_okija_ubahua_bu_ubahu_ubahu_ubahu_uduru_umuakporom_umungwu,Umungwu,anambra_ihiala_okija_ubahua_bu_ubahu_ubahu_ubahu_uduru_umuakporom,2
anambra_ihiala_okija_ubahua_bu_ubahu_ubahu_ubahu_uduru_umuakporom_umueze_iloana,Umueze Iloana,anambra_ihiala_okija_ubahua_bu_ubahu_ubahu_ubahu_uduru_umuakporom,3
anambra_ihiala_okija_ubahua_bu_ubahu_ubahu_ubahu_uduru_umuakporom_umuemenighe,Umuemenighe,anambra_ihiala_okija_ubahua_bu_ubahu_ubahu_ubahu_uduru_umuakporom,4
anambra_ihiala_okija_ubahua_bu_ubahu_ubahu_ubahu_uduru_umuakporom_umuigboeje,Umuigboeje,anambra_ihiala_okija_ubahua_bu_ubahu_ubahu_ubahu_uduru_umuakporom,5
anambra_ihiala_okija_ubahua_bu_ubahu_ubahu_ubahu_uduru_ugwuchereku_umuiloegbuna,Umuiloegbuna,anambra_ihiala_okija_ubahua_bu_ubahu_ubahu_ubahu_uduru_ugwuchereku,1
anambra_ihiala_okija_ubahua_bu_ubahu_ubahu_ubahu_uduru_ugwuchereku_umu_uzoegwu,Umu - Uzoegwu,anambra_ihiala_okija_ubahua_bu_ubahu_ubahu_ubahu_uduru_ugwuchereku,2
anambra_ihiala_okija_ubahua_bu_ubahu_ubahu_ubahu_uduru_ugwuchereku_umudibiagu,Umudibiagu,anambra_ihiala_okija_ubahua_bu_ubahu_ubahu_ubahu_uduru_ugwuchereku,3
anambra_ihiala_okija_ubahua_bu_ubahu_ubahu_ubahu_uduru_ugwuchereku_umudiji,Umudiji,anambra_ihiala_okija_ubahua_bu_ubahu_ubahu_ubahu_uduru_ugwuchereku,4
anambra_ihiala_okija_ubahua_bu_ubahu_ubahu_ubahu_uduru_ugwuchereku_umuizunabo,Umuizunabo,anambra_ihiala_okija_ubahua_bu_ubahu_ubahu_ubahu_uduru_ugwuchereku,5
anambra_ihiala_okija_ubahua_bu_ubahu_ubahu_ubahu_uduru_ugwuchereku_umuisiagu,Umuisiagu,anambra_ihiala_okija_ubahua_bu_ubahu_ubahu_ubahu_uduru_ugwuchereku,6
anambra_ihiala_okija_ubahua_bu_ubahu_umuohi_ezieke_anaubosi_umuezedibia,Umuezedibia,anambra_ihiala_okija_ubahua_bu_ubahu_umuohi_ezieke_anaubosi,1
anambra_ihiala_okija_ubahua_bu_ubahu_umuohi_ezieke_anaubosi_umuobinagha,Umuobinagha,anambra_ihiala_okija_ubahua_bu_ubahu_umuohi_ezieke_anaubosi,2
anambra_ihiala_okija_ubahua_bu_ubahu_umuohi_ezieke_anaubosi_umuanyaeji,Umuanyaeji,anambra_ihiala_okija_ubahua_bu_ubahu_umuohi_ezieke_anaubosi,3
anambra_ihiala_okija_ubahua_bu_ubahu_umuohi_ezieke_anunwa_anunwa,Anunwa,anambra_ihiala_okija_ubahua_bu_ubahu_umuohi_ezieke_anunwa,1
anambra_ihiala_okija_ubahua_bu_ubahu_umuohi_ezieke_ihuoma_anukaubi_ihuoma,Ihuoma,anambra_ihiala_okija_ubahua_bu_ubahu_umuohi_ezieke_ihuoma_anukaubi,1
anambra_ihiala_okija_ubahua_bu_ubahu_umuohi_ezieke_umuabiam_umuonwuka,Umuonwuka,anambra_ihiala_okija_ubahua_bu_ubahu_umuohi_ezieke_umuabiam,1
anambra_ihiala_okija_ubahua_bu_ubahu_umuohi_ezieke_umuabiam_umu_ukadike,Umu Ukadike,anambra_ihiala_okija_ubahua_bu_ubahu_umuohi_ezieke_umuabiam,2
anambra_ihiala_okija_ubahua_bu_ubahu_ezinaukpodu_ubahu_ezike_ubahu_ezike_umuezike,Umuezike,anambra_ihiala_okija_ubahua_bu_ubahu_ezinaukpodu_ubahu_ezike_ubahu_ezike,1
anambra_ihiala_okija_ubahua_bu_ubahu_ezinaukpodu_ubahu_ezike_ubahu_ezike_umuesikam,Umuesikam,anambra_ihiala_okija_ubahua_bu_ubahu_ezinaukpodu_ubahu_ezike_ubahu_ezike,2
anambra_ihiala_okija_ubahua_bu_ubahu_ezinaukpodu_ubahu_ezike_ubahu_ezike_umuezenwune,Umuezenwune,anambra_ihiala_okija_ubahua_bu_ubahu_ezinaukpodu_ubahu_ezike_ubahu_ezike,3
anambra_ihiala_okija_ubahua_bu_ubahu_ezinaukpodu_ubahu_ezike_ubahu_ezike_umuezie,Umuezie,anambra_ihiala_okija_ubahua_bu_ubahu_ezinaukpodu_ubahu_ezike_ubahu_ezike,4
anambra_ihiala_okija_ihitea_bu_ihite_ubahu_eze_ubahu_eze_ubahu_eze_umuoma,Umuoma,anambra_ihiala_okija_ihitea_bu_ihite_ubahu_eze_ubahu_eze_ubahu_eze,1
anambra_ihiala_okija_ihitea_bu_ihite_ubahu_eze_ubahu_eze_ubahu_eze_uhuokwe,Uhuokwe,anambra_ihiala_okija_ihitea_bu_ihite_ubahu_eze_ubahu_eze_ubahu_eze,2
anambra_ihiala_okija_ihitea_bu_ihite_ubahu_eze_ubahu_eze_ubahu_eze_ubahu_ogwugwu,Ubahu - Ogwugwu,anambra_ihiala_okija_ihitea_bu_ihite_ubahu_eze_ubahu_eze_ubahu_eze,3
anambra_ihiala_okija_ihitea_bu_ihite_ubahumonum_ubahumonum_ezimbara_umuoha,Umuoha,anambra_ihiala_okija_ihitea_bu_ihite_ubahumonum_ubahumonum_ezimbara,1
anambra_ihiala_okija_ihitea_bu_ihite_ubahumonum_ubahumonum_ezimbara_umuezeagwute,Umuezeagwute,anambra_ihiala_okija_ihitea_bu_ihite_ubahumonum_ubahumonum_ezimbara,2
anambra_ihiala_okija_ihitea_bu_ihite_ubahumonum_ubahumonum_ezimbara_umuezeanofor,Umuezeanofor,anambra_ihiala_okija_ihitea_bu_ihite_ubahumonum_ubahumonum_ezimbara,3
anambra_ihiala_okija_ihitea_bu_ihite_ubahumonum_ubahumonum_ezimbara_umuezechima,Umuezechima,anambra_ihiala_okija_ihitea_bu_ihite_ubahumonum_ubahumonum_ezimbara,4
anambra_ihiala_okija_ihitea_bu_ihite_ubahumonum_ubahumonum_ezimbara_umuezeona,Umuezeona,anambra_ihiala_okija_ihitea_bu_ihite_ubahumonum_ubahumonum_ezimbara,5
anambra_ihiala_okija_ihitea_bu_ihite_ubahumonum_ubahumonum_umuezim_ndiezeana_mmedoro,Ndiezeana (Mmedoro),anambra_ihiala_okija_ihitea_bu_ihite_ubahumonum_ubahumonum_umuezim,1
anambra_ihiala_okija_ihitea_bu_ihite_ubahumonum_ubahumonum_umuezim_umuezeanekwu,Umuezeanekwu,anambra_ihiala_okija_ihitea_bu_ihite_ubahumonum_ubahumonum_umuezim,2
anambra_ihiala_okija_ihitea_bu_ihite_ubahumonum_ubahumonum_umuezim_umudarauzu,Umudarauzu,anambra_ihiala_okija_ihitea_bu_ihite_ubahumonum_ubahumonum_umuezim,3
anambra_ihiala_okija_ihitea_bu_ihite_ubahumonum_ubahumonum_umuezim_umuagu,Umuagu,anambra_ihiala_okija_ihitea_bu_ihite_ubahumonum_ubahumonum_umuezim,4
anambra_ihiala_okija_ihitea_bu_ihite_isieke_ubahu_udara_isieke_isieke_ezengu,Ezengu,anambra_ihiala_okija_ihitea_bu_ihite_isieke_ubahu_udara_isieke_isieke,1
anambra_ihiala_okija_ihitea_bu_ihite_isieke_ubahu_udara_isieke_isieke_ndukaihim,Ndukaihim,anambra_ihiala_okija_ihitea_bu_ihite_isieke_ubahu_udara_isieke_isieke,2
anambra_ihiala_okija_ihitea_bu_ihite_isieke_ubahu_udara_isieke_isieke_umunaka,Umunaka,anambra_ihiala_okija_ihitea_bu_ihite_isieke_ubahu_udara_isieke_isieke,3
anambra_ihiala_okija_ihitea_bu_ihite_isieke_ubahu_udara_isieke_isieke_umuduru,Umuduru,anambra_ihiala_okija_ihitea_bu_ihite_isieke_ubahu_udara_isieke_isieke,4
anambra_ihiala_okija_ihitea_bu_ihite_isieke_ubahu_udara_isieke_isieke_amaorie,Amaorie,anambra_ihiala_okija_ihitea_bu_ihite_isieke_ubahu_udara_isieke_isieke,5
anambra_ihiala_okija_ihitea_bu_ihite_isieke_ubahu_udara_ubahu_udara_ubahu_udara_umu_mogo,Umu - Mogo,anambra_ihiala_okija_ihitea_bu_ihite_isieke_ubahu_udara_ubahu_udara_ubahu_udara,1
anambra_ihiala_okija_ihitea_bu_ihite_isieke_ubahu_udara_ubahu_udara_ubahu_udara_umuojigwe,Umuojigwe,anambra_ihiala_okija_ihitea_bu_ihite_isieke_ubahu_udara_ubahu_udara_ubahu_udara,2
anambra_ihiala_okija_ihitea_bu_ihite_isieke_ubahu_udara_ubahu_udara_ubahu_udara_umudurunonye,Umudurunonye,anambra_ihiala_okija_ihitea_bu_ihite_isieke_ubahu_udara_ubahu_udara_ubahu_udara,3
anambra_ihiala_okija_ihitea_bu_ihite_isieke_ubahu_udara_ubahu_udara_ubahu_udara_umuezeahize,Umuezeahize,anambra_ihiala_okija_ihitea_bu_ihite_isieke_ubahu_udara_ubahu_udara_ubahu_udara,4
anambra_ihiala_okija_uhu0b0_na_uhuowelle_uhuowelle_oghalaegbu_umuezejiaku_umuezeriobi,Umuezeriobi,anambra_ihiala_okija_uhu0b0_na_uhuowelle_uhuowelle_oghalaegbu_umuezejiaku,1
anambra_ihiala_okija_uhu0b0_na_uhuowelle_uhuowelle_oghalaegbu_umuezejiaku_umuezeihebiri,Umuezeihebiri,anambra_ihiala_okija_uhu0b0_na_uhuowelle_uhuowelle_oghalaegbu_umuezejiaku,2
anambra_ihiala_okija_uhu0b0_na_uhuowelle_uhuowelle_oghalaegbu_umunaforojoro_umuokparaizu,Umuokparaizu,anambra_ihiala_okija_uhu0b0_na_uhuowelle_uhuowelle_oghalaegbu_umunaforojoro,1
anambra_ihiala_okija_uhu0b0_na_uhuowelle_uhuowelle_oghalaegbu_umunaforojoro_umuokaraiwuanyi,Umuokaraiwuanyi,anambra_ihiala_okija_uhu0b0_na_uhuowelle_uhuowelle_oghalaegbu_umunaforojoro,2
anambra_ihiala_okija_uhu0b0_na_uhuowelle_uhuowelle_oghalaegbu_umuokparaezike_umujuokwu,Umujuokwu,anambra_ihiala_okija_uhu0b0_na_uhuowelle_uhuowelle_oghalaegbu_umuokparaezike,1
anambra_ihiala_okija_uhu0b0_na_uhuowelle_uhuowelle_oghalaegbu_umuokparaezike_umuokparadoro,Umuokparadoro,anambra_ihiala_okija_uhu0b0_na_uhuowelle_uhuowelle_oghalaegbu_umuokparaezike,2
anambra_ihiala_okija_uhu0b0_na_uhuowelle_uhuowelle_oghalaegbu_umuokparaezike_umummirika,Umummirika,anambra_ihiala_okija_uhu0b0_na_uhuowelle_uhuowelle_oghalaegbu_umuokparaezike,3
anambra_ihiala_okija_ubahua_bu_ubahu_ezinaukpodu_umuhu_umuezeana_umuemekwuru,Umuemekwuru,anambra_ihiala_okija_ubahua_bu_ubahu_ezinaukpodu_umuhu_umuezeana,1
anambra_ihiala_okija_uhu0b0_na_uhuowelle_uhuowelle_oghalaegbu_umuezeana_umuemekwuru,Umuemekwuru,anambra_ihiala_okija_uhu0b0_na_uhuowelle_uhuowelle_oghalaegbu_umuezeana,1
anambra_ihiala_okija_uhu0b0_na_uhuowelle_uhuowelle_oghalaegbu_umuodumonu_umunwoji,Umunwoji,anambra_ihiala_okija_uhu0b0_na_uhuowelle_uhuowelle_oghalaegbu_umuodumonu,1
anambra_ihiala_okija_ubahua_bu_ubahu_ezinaukpodu_umuhu_umuezeana_umunwoji,Umunwoji,anambra_ihiala_okija_ubahua_bu_ubahu_ezinaukpodu_umuhu_umuezeana,2
anambra_ihiala_okija_uhu0b0_na_uhuowelle_uhuowelle_oghalaegbu_umuezeana_umunwoji,Umunwoji,anambra_ihiala_okija_uhu0b0_na_uhuowelle_uhuowelle_oghalaegbu_umuezeana,2
anambra_ihiala_okija_ubahua_bu_ubahu_ezinaukpodu_umuhu_umuezeana_umu_abanihi,Umu - Abanihi,anambra_ihiala_okija_ubahua_bu_ubahu_ezinaukpodu_umuhu_umuezeana,3
anambra_ihiala_okija_uhu0b0_na_uhuowelle_uhuowelle_oghalaegbu_umuezeana_umu_abanihi,Umu - Abanihi,anambra_ihiala_okija_uhu0b0_na_uhuowelle_uhuowelle_oghalaegbu_umuezeana,3
anambra_ihiala_okija_ubahua_bu_ubahu_ezinaukpodu_umuhu_umuezeana_umu_ihi,Umu - Ihi,anambra_ihiala_okija_ubahua_bu_ubahu_ezinaukpodu_umuhu_umuezeana,4
anambra_ihiala_okija_uhu0b0_na_uhuowelle_uhuowelle_oghalaegbu_umuezeana_umu_ihi,Umu - Ihi,anambra_ihiala_okija_uhu0b0_na_uhuowelle_uhuowelle_oghalaegbu_umuezeana,4
anambra_ihiala_okija_ubahua_bu_ubahu_ezinaukpodu_umuhu_umuezeana_umu_agbagosim,Umu - Agbagosim,anambra_ihiala_okija_ubahua_bu_ubahu_ezinaukpodu_umuhu_umuezeana,5
anambra_ihiala_okija_uhu0b0_na_uhuowelle_uhuowelle_oghalaegbu_umuezeana_umu_agbagosim,Umu - Agbagosim,anambra_ihiala_okija_uhu0b0_na_uhuowelle_uhuowelle_oghalaegbu_umuezeana,5
