first_level_admin_division_id,first_level_admin_division_name,country_id,division_type
FLAD_AF_BDS,Badakhshān,CTR_AFG,Province
FLAD_AF_BGL,Baghlān,CTR_AFG,Province
FLAD_AF_BAL,Balkh,CTR_AFG,Province
FLAD_AF_BDG,Bādghīs,CTR_AFG,Province
FLAD_AF_BAM,Bāmyān,CTR_AFG,Province
FLAD_AF_DAY,Dāykundī,CTR_AFG,Province
FLAD_AF_FRA,Farāh,CTR_AFG,Province
FLAD_AF_FYB,Fāryāb,CTR_AFG,Province
FLAD_AF_GHA,Ghaznī,CTR_AFG,Province
FLAD_AF_GHO,Ghōr,CTR_AFG,Province
FLAD_AF_HEL,Helmand,CTR_AFG,Province
FLAD_AF_HER,Herāt,CTR_AFG,Province
FLAD_AF_JOW,Jowzjān,CTR_AFG,Province
FLAD_AF_KAN,Kandahār,CTR_AFG,Province
FLAD_AF_KAB,Kābul,CTR_AFG,Province
FLAD_AF_KAP,Kāpīsā,CTR_AFG,Province
FLAD_AF_KHO,Khōst,CTR_AFG,Province
FLAD_AF_KNR,Kunaṟ,CTR_AFG,Province
FLAD_AF_KDZ,Kunduz,CTR_AFG,Province
FLAD_AF_LAG,Laghmān,CTR_AFG,Province
FLAD_AF_LOG,Lōgar,CTR_AFG,Province
FLAD_AF_NAN,Nangarhār,CTR_AFG,Province
FLAD_AF_NIM,Nīmrōz,CTR_AFG,Province
FLAD_AF_NUR,Nūristān,CTR_AFG,Province
FLAD_AF_PIA,Paktiyā,CTR_AFG,Province
FLAD_AF_PKA,Paktīkā,CTR_AFG,Province
FLAD_AF_PAN,Panjshayr,CTR_AFG,Province
FLAD_AF_PAR,Parwān,CTR_AFG,Province
FLAD_AF_SAM,Samangān,CTR_AFG,Province
FLAD_AF_SAR,Sar-e Pul,CTR_AFG,Province
FLAD_AF_TAK,Takhār,CTR_AFG,Province
FLAD_AF_URU,Uruzgān,CTR_AFG,Province
FLAD_AF_WAR,Wardak,CTR_AFG,Province
FLAD_AF_ZAB,Zābul,CTR_AFG,Province
FLAD_AL_01,Berat,CTR_ALB,County
FLAD_AL_09,Dibër,CTR_ALB,County
FLAD_AL_02,Durrës,CTR_ALB,County
FLAD_AL_03,Elbasan,CTR_ALB,County
FLAD_AL_04,Fier,CTR_ALB,County
FLAD_AL_05,Gjirokastër,CTR_ALB,County
FLAD_AL_06,Korçë,CTR_ALB,County
FLAD_AL_07,Kukës,CTR_ALB,County
FLAD_AL_08,Lezhë,CTR_ALB,County
FLAD_AL_10,Shkodër,CTR_ALB,County
FLAD_AL_11,Tiranë,CTR_ALB,County
FLAD_AL_12,Vlorë,CTR_ALB,County
FLAD_DZ_01,Adrar,CTR_DZA,Province
FLAD_DZ_44,Aïn Defla,CTR_DZA,Province
FLAD_DZ_46,Aïn Témouchent,CTR_DZA,Province
FLAD_DZ_16,Alger,CTR_DZA,Province
FLAD_DZ_23,Annaba,CTR_DZA,Province
FLAD_DZ_05,Batna,CTR_DZA,Province
FLAD_DZ_08,Béchar,CTR_DZA,Province
FLAD_DZ_06,Béjaïa,CTR_DZA,Province
FLAD_DZ_52,Béni Abbès,CTR_DZA,Province
FLAD_DZ_07,Biskra,CTR_DZA,Province
FLAD_DZ_09,Blida,CTR_DZA,Province
FLAD_DZ_50,Bordj Badji Mokhtar,CTR_DZA,Province
FLAD_DZ_34,Bordj Bou Arréridj,CTR_DZA,Province
FLAD_DZ_10,Bouira,CTR_DZA,Province
FLAD_DZ_35,Boumerdès,CTR_DZA,Province
FLAD_DZ_02,Chlef,CTR_DZA,Province
FLAD_DZ_25,Constantine,CTR_DZA,Province
FLAD_DZ_56,Djanet,CTR_DZA,Province
FLAD_DZ_17,Djelfa,CTR_DZA,Province
FLAD_DZ_32,El Bayadh,CTR_DZA,Province
FLAD_DZ_57,El Meghaier,CTR_DZA,Province
FLAD_DZ_58,El Meniaa,CTR_DZA,Province
FLAD_DZ_39,El Oued,CTR_DZA,Province
FLAD_DZ_36,El Tarf,CTR_DZA,Province
FLAD_DZ_47,Ghardaïa,CTR_DZA,Province
FLAD_DZ_24,Guelma,CTR_DZA,Province
