id,name,stateId,officialOrder
abia_aba_north,Aba North,abia,1
abia_aba_south,Aba South,abia,2
abia_arochukwu,Arochukwu,abia,3
abia_bende,Bende,abia,4
abia_ikwuano,Ikwuano,abia,5
abia_isiala_ngwa_north,Isiala Ngwa North,abia,6
abia_isiala_ngwa_south,Isiala Ngwa South,abia,7
abia_isuikwuato,Isuikwuato,abia,8
abia_obingwa,Obingwa,abia,9
abia_ohafia,Ohafia,abia,10
abia_osisioma_ngwa,Osisioma Ngwa,abia,11
abia_ugwunagbo,Ugwunagbo,abia,12
abia_ukwa_east,Ukwa East,abia,13
abia_ukwa_west,Ukwa West,abia,14
abia_umuahia_north,Umuahia North,abia,15
abia_umuahia_south,Umuahia South,abia,16
abia_umenneochi,Umunneochi,abia,17
,,,
anambra_aguata,Aguata,anambra,1
anambra_anambra_east,Anambra East,anambra,2
anambra_anambra_west,Anambra West,anambra,3
anambra_anaocha,Anaocha,anambra,4
anambra_awka_north,Awka North,anambra,5
anambra_awka_south,Awka South,anambra,6
anambra_ayamelum,Ayamelum,anambra,7
anambra_dunukofia,Dunukofia,anambra,8
anambra_ekwusigo,Ekwusigo,anambra,9
anambra_idemili_north,Idemili North,anambra,10
anambra_idemili_south,Idemili South,anambra,11
anambra_ihiala,Ihiala,anambra,12
anambra_njikoka,Njikoka,anambra,13
anambra_nnewi_north,Nnewi North,anambra,14
anambra_nnewi_south,Nnewi South,anambra,15
anambra_ogbaru,Ogbaru,anambra,16
anambra_onitsha_north,Onitsha North,anambra,17
anambra_onitsha_south,Onitsha South,anambra,18
anambra_orumba_north,Orumba North,anambra,19
anambra_orumba_south,Orumba South,anambra,20
anambra_oyi,Oyi,anambra,21
,,,
enugu_aninri,Aninri,enugu,1
enugu_awgu,Awgu,enugu,2
enugu_enugu_east,Enugu East,enugu,3
enugu_enugu_north,Enugu North,enugu,4
enugu_enugu_south,Enugu South,enugu,5
enugu_ezeagu,Ezeagu,enugu,6
enugu_igbo_etiti,Igbo Etiti,enugu,7
enugu_igbo_eze_north,Igbo Eze North,enugu,8
enugu_igbo_eze_south,Igbo Eze South,enugu,9
enugu_isi_uzo,Isi Uzo,enugu,10
enugu_nkanu_east,Nkanu East,enugu,11
enugu_nkanu_west,Nkanu West,enugu,12
enugu_nsukka,Nsukka,enugu,13
enugu_oji_river,Oji River,enugu,14
enugu_udenue,Udenu,enugu,15
enugu_udi,Udi,enugu,16
enugu_uzo_uwani,Uzo Uwani,enugu,17
,,,
ebonyi_abakaliki,Abakaliki,ebonyi,1
ebonyi_afikpo_north,Afikpo North,ebonyi,2
ebonyi_afikpo_south,Afikpo South,ebonyi,3
ebonyi_ebonyi,Ebonyi,ebonyi,4
ebonyi_ezza_north,Ezza North,ebonyi,5
ebonyi_ezza_south,Ezza South,ebonyi,6
ebonyi_ikwo,Ikwo,ebonyi,7
ebonyi_ishielu,Ishielu,ebonyi,8
ebonyi_ivo,Ivo,ebonyi,9
ebonyi_izzie,Izzi,ebonyi,10
ebonyi_ohaozara,Ohaozara,ebonyi,11
ebonyi_onicha,Onicha,ebonyi,12
ebonyi_ohaukwu,Ohaukwu,ebonyi,13
,,,
imo_ahiazu_mbaise,Ahiazu Mbaise,imo,1
imo_ehime_mbano,Ehime Mbano,imo,2
imo_ezinihitte_mbaise,Ezinihitte Mbaise,imo,3
imo_ideato_north,Ideato North,imo,4
imo_ideato_south,Ideato South,imo,5
imo_ihitte_uboma,Ihitte Uboma,imo,6
imo_ikeduru,Ikeduru,imo,7
imo_isiala_mbano,Isiala Mbano,imo,8
